bid_min,bid_max,wait_min,ask_lo,ask_hi,n_train,train_edge,train_dpd
0.7,0.75,3,0.6,0.8,130,6.6590923076923065,3.607008333333332
0.7,0.75,3,0.55,0.8,130,6.6590923076923065,3.607008333333332
0.65,0.85,3,0.55,0.8,130,6.6590923076923065,3.607008333333332
0.65,0.85,3,0.6,0.8,130,6.6590923076923065,3.607008333333332
0.7,0.85,3,0.55,0.8,130,6.6590923076923065,3.607008333333332
0.7,0.85,3,0.65,0.8,130,6.6590923076923065,3.607008333333332
0.6,0.85,3,0.65,0.8,130,6.6590923076923065,3.607008333333332
0.65,0.75,3,0.65,0.8,130,6.6590923076923065,3.607008333333332
0.65,0.75,3,0.6,0.8,130,6.6590923076923065,3.607008333333332
0.65,0.75,3,0.55,0.8,130,6.6590923076923065,3.607008333333332
0.6,0.85,3,0.6,0.8,130,6.6590923076923065,3.607008333333332
0.6,0.85,3,0.55,0.8,130,6.6590923076923065,3.607008333333332
0.6,0.8,3,0.55,0.8,130,6.6590923076923065,3.607008333333332
0.6,0.8,3,0.65,0.8,130,6.6590923076923065,3.607008333333332
0.6,0.75,3,0.55,0.8,130,6.6590923076923065,3.607008333333332
0.65,0.75,3,0.65,0.9,224,5.46416369047619,5.099886111111111
0.65,0.75,3,0.6,0.9,224,5.46416369047619,5.099886111111111
0.65,0.75,3,0.55,0.9,224,5.46416369047619,5.099886111111111
0.6,0.75,3,0.55,0.9,224,5.46416369047619,5.099886111111111
0.6,0.8,3,0.55,0.9,224,5.46416369047619,5.099886111111111
0.6,0.75,3,0.6,0.9,224,5.46416369047619,5.099886111111111
0.6,0.75,3,0.65,0.9,224,5.46416369047619,5.099886111111111
0.7,0.85,3,0.65,0.9,224,5.46416369047619,5.099886111111111
0.7,0.85,3,0.55,0.9,224,5.46416369047619,5.099886111111111
0.7,0.8,3,0.65,0.9,224,5.46416369047619,5.099886111111111
0.7,0.8,3,0.6,0.9,224,5.46416369047619,5.099886111111111
0.7,0.85,3,0.6,0.9,224,5.46416369047619,5.099886111111111
0.7,0.75,3,0.65,0.9,224,5.46416369047619,5.099886111111111
0.7,0.8,3,0.55,0.9,224,5.46416369047619,5.099886111111111
0.7,0.75,3,0.6,0.9,224,5.46416369047619,5.099886111111111
0.7,0.75,3,0.55,0.9,224,5.46416369047619,5.099886111111111
0.65,0.8,3,0.6,0.9,224,5.46416369047619,5.099886111111111
0.65,0.8,3,0.65,0.9,224,5.46416369047619,5.099886111111111
0.6,0.85,3,0.65,0.9,224,5.46416369047619,5.099886111111111
0.65,0.8,3,0.55,0.9,224,5.46416369047619,5.099886111111111
0.65,0.85,3,0.55,0.9,224,5.46416369047619,5.099886111111111
0.65,0.85,3,0.65,0.9,224,5.46416369047619,5.099886111111111
0.65,0.85,3,0.6,0.9,224,5.46416369047619,5.099886111111111
0.6,0.8,3,0.6,0.9,224,5.46416369047619,5.099886111111111
0.6,0.85,3,0.55,0.9,224,5.46416369047619,5.099886111111111
0.6,0.8,3,0.65,0.9,224,5.46416369047619,5.099886111111111
