ticker,coin,close_ts,side,entry_bid,entry_ask,entry_spread,bid,ask,spread,vol,rise,widen,coin_order,won,utc,day,week,fee,pnl,edge_c
KXBTC15M-26JUN212300-00,BTC,1782097200,no,0.7,0.71,0.010000000000000009,0.73,0.74,0.010000000000000009,61460.62,0.030000000000000027,0.0,0,1,2026-06-22 03:00:00+00:00,2026-06-22,26,0.2021,3.6979,24.65266666666667
KXBTC15M-26JUN221700-00,BTC,1782162000,no,0.65,0.6599999999999999,0.009999999999999898,0.7,0.71,0.010000000000000009,83578.67,0.04999999999999993,1.1102230246251565e-16,0,1,2026-06-22 21:00:00+00:00,2026-06-22,26,0.2162,4.133800000000001,27.55866666666667
KXBTC15M-26JUN240300-00,BTC,1782284400,no,0.6599999999999999,0.6699999999999999,0.010000000000000009,0.76,0.77,0.010000000000000009,72832.3,0.10000000000000009,0.0,0,1,2026-06-24 07:00:00+00:00,2026-06-24,26,0.186,3.264,21.759999999999998
KXBTC15M-26JUN240800-00,BTC,1782302400,yes,0.65,0.66,0.010000000000000009,0.71,0.72,0.010000000000000009,17867.04,0.05999999999999994,0.0,0,1,2026-06-24 12:00:00+00:00,2026-06-24,26,0.2117,3.9883,26.588666666666665
KXBTC15M-26JUN250100-00,BTC,1782363600,yes,0.66,0.67,0.010000000000000009,0.75,0.76,0.010000000000000009,91687.93,0.08999999999999997,0.0,0,1,2026-06-25 05:00:00+00:00,2026-06-25,26,0.1916,3.4083999999999994,22.72266666666666
KXBTC15M-26JUN251200-00,BTC,1782403200,yes,0.71,0.72,0.010000000000000009,0.75,0.76,0.010000000000000009,39192.36,0.040000000000000036,0.0,0,1,2026-06-25 16:00:00+00:00,2026-06-25,26,0.1916,3.4083999999999994,22.72266666666666
KXETH15M-26JUN251300-00,ETH,1782406800,no,0.6699999999999999,0.69,0.020000000000000018,0.69,0.7,0.010000000000000009,3533.78,0.020000000000000018,-0.010000000000000009,1,1,2026-06-25 17:00:00+00:00,2026-06-25,26,0.2205,4.2795000000000005,28.530000000000005
KXBTC15M-26JUN251600-00,BTC,1782417600,no,0.69,0.7,0.010000000000000009,0.78,0.79,0.010000000000000009,59962.96,0.09000000000000008,0.0,0,1,2026-06-25 20:00:00+00:00,2026-06-25,26,0.1742,2.9757999999999996,19.83866666666666
KXETH15M-26JUN252300-00,ETH,1782442800,no,0.6599999999999999,0.6699999999999999,0.010000000000000009,0.75,0.76,0.010000000000000009,3334.54,0.09000000000000008,0.0,1,1,2026-06-26 03:00:00+00:00,2026-06-26,26,0.1916,3.4083999999999994,22.72266666666666
KXBTC15M-26JUN260400-00,BTC,1782460800,no,0.76,0.77,0.010000000000000009,0.78,0.79,0.010000000000000009,95769.05,0.020000000000000018,0.0,0,1,2026-06-26 08:00:00+00:00,2026-06-26,26,0.1742,2.9757999999999996,19.83866666666666
