wait,ceiling,qty,latency,slippage_c,fill_fraction,n,probe_fills,no_fills,commits,commit_win_rate,commit_mean_ask,diag_pnl,ptc_pnl,control_pnl,ptc_minus_diag,ptc_minus_control,ptc_mean_day,ptc_max_dd,ptc_worst_window,axis
60,0.8,15,0.0,0.0,1.0,303,268,35,10,0.9,0.7659999999999999,-0.38000000000000256,17.841599999999993,2.9644499999999425,18.221600000000002,14.877150000000029,8.920799999999996,12.910200000000003,-12.5502,qty
60,0.8,20,0.0,0.0,1.0,303,268,35,10,0.9,0.7659999999999999,-0.38000000000000256,23.915599999999994,3.952599999999933,24.2956,19.963000000000022,11.957799999999995,16.870300000000004,-16.5103,qty
60,0.8,15,0.0,0.0,1.0,303,268,35,10,0.9,0.7659999999999999,-0.38000000000000256,17.841599999999993,2.9644499999999425,18.221600000000002,14.877150000000029,8.920799999999996,12.910200000000003,-12.5502,latency
60,0.8,15,0.25,0.0,1.0,303,268,35,10,0.9,0.7659999999999999,-0.38000000000000256,17.841599999999993,2.9644499999999425,18.221600000000002,14.877150000000029,8.920799999999996,12.910200000000003,-12.5502,latency
60,0.8,15,0.5,0.0,1.0,303,268,35,10,0.9,0.7659999999999999,-0.38000000000000256,17.841599999999993,2.9644499999999425,18.221600000000002,14.877150000000029,8.920799999999996,12.910200000000003,-12.5502,latency
60,0.8,15,1.0,0.0,1.0,303,268,35,10,0.9,0.7659999999999999,-0.38000000000000256,17.841599999999993,2.9644499999999425,18.221600000000002,14.877150000000029,8.920799999999996,12.910200000000003,-12.5502,latency
60,0.8,15,2.0,0.0,1.0,303,268,35,10,0.9,0.7659999999999999,-0.38000000000000256,17.841599999999993,2.9644499999999425,18.221600000000002,14.877150000000029,8.920799999999996,12.910200000000003,-12.5502,latency
60,0.8,15,3.0,0.0,1.0,303,268,35,10,0.9,0.7659999999999999,-0.38000000000000256,17.841599999999993,2.9644499999999425,18.221600000000002,14.877150000000029,8.920799999999996,12.910200000000003,-12.5502,latency
60,0.8,15,0.0,0.0,1.0,303,268,35,10,0.9,0.7659999999999999,-0.38000000000000256,17.841599999999993,2.9644499999999425,18.221600000000002,14.877150000000029,8.920799999999996,12.910200000000003,-12.5502,slippage
60,0.8,15,0.0,1.0,1.0,303,268,35,10,0.9,0.776,-0.38000000000000256,16.398599999999988,2.9644499999999425,16.778599999999994,13.434150000000017,8.199299999999994,13.054200000000005,-12.694200000000002,slippage
60,0.8,15,0.0,2.0,1.0,303,268,35,8,0.875,0.75375,-0.38000000000000256,12.640399999999993,2.9644499999999425,13.020399999999999,9.675950000000057,6.320199999999996,13.198000000000002,-12.838,slippage
60,0.8,15,0.0,3.0,1.0,303,268,35,7,1.0,0.7314285714285714,-0.38000000000000256,26.423799999999996,2.9644499999999425,26.803799999999995,23.459350000000057,13.211899999999996,8.294199999999996,-2.45,slippage
60,0.8,15,0.0,5.0,1.0,303,268,35,5,1.0,0.726,-0.38000000000000256,19.16139999999999,2.9644499999999425,19.541399999999996,16.196950000000015,9.580699999999997,11.27,-2.45,slippage
60,0.8,15,0.0,0.0,0.25,303,268,35,10,0.9,0.7659999999999999,-0.38000000000000256,3.263799999999998,2.9644499999999425,3.6438,0.2993500000000324,1.6318999999999986,14.683300000000003,-3.0460999999999996,fill_fraction
60,0.8,15,0.0,0.0,0.5,303,268,35,10,0.9,0.7659999999999999,-0.38000000000000256,8.123399999999993,2.9644499999999425,8.5034,5.158950000000033,4.061699999999998,12.980700000000006,-6.2141,fill_fraction
60,0.8,15,0.0,0.0,0.75,303,268,35,10,0.9,0.7659999999999999,-0.38000000000000256,12.982299999999992,2.9644499999999425,13.362300000000001,10.01785000000001,6.4911499999999975,11.278300000000003,-9.3822,fill_fraction
60,0.8,15,0.0,0.0,1.0,303,268,35,10,0.9,0.7659999999999999,-0.38000000000000256,17.841599999999993,2.9644499999999425,18.221600000000002,14.877150000000029,8.920799999999996,12.910200000000003,-12.5502,fill_fraction
