wait_seconds,delay_minutes,ask_ceiling,probe_qty,commit_qty,volume_filter,eligible_markets,calendar_days,live_fill_rate_win,live_fill_rate_lose,live_nofill_win_rate,mean_commits,mean_probe_fills,mean_total_pnl,mean_pnl_per_day,pnl_day_ci_lo,pnl_day_ci_hi,p_mean_day_nonpositive,median_max_drawdown,max_drawdown_p95,median_worst_window,p_hit_211_over_history
90,2,0.82,1,15,True,2577,73,0.8571428571428571,0.9651162790697675,0.9117647058823529,161.41333333333333,2276.17,391.63827000000003,5.364907808219178,1.859511780821918,8.511406883561643,0.0033333333333333335,29.18490000000007,65.65543000000012,-12.516,0.0033333333333333335
90,2,0.82,1,20,True,2577,73,0.8571428571428571,0.9651162790697675,0.9117647058823529,163.07666666666665,2273.6116666666667,545.2227325000001,7.468804554794521,2.794396301369864,11.967452020547945,0.0016666666666666668,35.922049999999814,76.91316500000003,-16.6067,0.0016666666666666668
90,2,0.85,1,10,True,2577,73,0.8571428571428571,0.9651162790697675,0.9117647058823529,190.76,2277.26,288.0407546666667,3.9457637625570783,1.6868644863013698,6.134963458904109,0.0016666666666666668,23.20449999999991,47.93939499999994,-9.0247,0.0016666666666666668
90,2,0.85,1,15,True,2577,73,0.8571428571428571,0.9651162790697675,0.9117647058823529,192.36,2275.3433333333332,453.5003626666666,6.2123337351598185,2.757578116438357,9.41571212328767,0.0,28.776300000000045,58.123765000000255,-13.031600000000001,0.0
90,2,0.85,1,20,True,2577,73,0.8571428571428571,0.9651162790697675,0.9117647058823529,191.65666666666667,2275.2916666666665,593.9875173333334,8.136815305936073,2.783199828767124,12.58901537671233,0.0033333333333333335,37.28524999999996,82.17322499999996,-17.1785,0.0033333333333333335
120,2,0.76,1,10,True,2577,73,0.8617511520737328,0.9651162790697675,0.9090909090909091,110.99833333333333,2281.3283333333334,191.0414593333334,2.6170062922374435,0.9845761301369865,4.238580410958905,0.0016666666666666668,23.328399999999917,43.63641500000012,-8.298,0.0
120,2,0.76,1,15,True,2577,73,0.8617511520737328,0.9651162790697675,0.9090909090909091,112.07,2278.3616666666667,296.9708461666667,4.068093783105024,1.4349819178082204,6.3595722945205475,0.0033333333333333335,27.87610000000003,56.07856499999998,-12.0321,0.0016666666666666668
120,2,0.76,1,20,True,2577,73,0.8617511520737328,0.9651162790697675,0.9090909090909091,109.95333333333333,2284.6916666666666,389.71173083333343,5.338516860730594,1.4754502739726036,8.44534352739726,0.0,35.373450000000076,79.39097499999994,-15.7294,0.0
120,2,0.78,1,10,True,2577,73,0.8617511520737328,0.9651162790697675,0.9090909090909091,128.505,2282.44,216.3028296666667,2.9630524611872153,1.2349772260273977,4.594054006849316,0.0,23.270099999999914,45.55309499999988,-8.4866,0.0
120,2,0.78,1,15,True,2577,73,0.8617511520737328,0.9651162790697675,0.9090909090909091,128.89,2282.8366666666666,328.99081800000005,4.506723534246576,1.7362598630136994,7.155277054794521,0.0,28.335799999999992,60.301770000000076,-12.3202,0.0
120,2,0.78,1,20,True,2577,73,0.8617511520737328,0.9651162790697675,0.9090909090909091,128.97166666666666,2281.815,435.85940150000005,5.970676732876713,2.0246707534246586,9.921079486301368,0.005,37.2551000000001,82.69783500000031,-16.1754,0.0033333333333333335
120,2,0.8,1,10,True,2577,73,0.8617511520737328,0.9651162790697675,0.9090909090909091,144.74333333333334,2282.411666666667,237.07551,3.2476097260273975,1.3819072945205484,4.999543630136986,0.0016666666666666668,23.215599999999924,46.77376999999985,-8.584,0.0016666666666666668
120,2,0.8,1,15,True,2577,73,0.8617511520737328,0.9651162790697675,0.9090909090909091,144.92666666666668,2282.3716666666664,359.3117728333334,4.922079079908676,1.9301583561643845,7.9867322945205474,0.0033333333333333335,30.199349999999882,58.43131500000005,-12.466000000000001,0.0033333333333333335
120,2,0.8,1,20,True,2577,73,0.8617511520737328,0.9651162790697675,0.9090909090909091,145.02,2282.5433333333335,475.3140618333333,6.5111515319634705,2.0100559246575354,10.501953904109591,0.005,37.12470000000016,78.56103000000017,-16.3523,0.0033333333333333335
120,2,0.82,1,10,True,2577,73,0.8617511520737328,0.9651162790697675,0.9090909090909091,156.325,2286.403333333333,252.5983713333334,3.4602516621004566,1.5970510958904114,5.453628390410959,0.005,23.098999999999876,47.04706000000021,-8.6602,0.0
120,2,0.82,1,15,True,2577,73,0.8617511520737328,0.9651162790697675,0.9090909090909091,158.45666666666668,2281.6216666666664,386.9097901666667,5.300134111872147,1.905521780821918,8.08760616438356,0.0033333333333333335,29.108600000000024,61.30510499999997,-12.496,0.0016666666666666668
120,2,0.82,1,20,True,2577,73,0.8617511520737328,0.9651162790697675,0.9090909090909091,159.25833333333333,2280.525,515.4596306666667,7.06109083105023,2.360101267123288,11.706031301369864,0.0,37.21924999999999,82.90907499999963,-16.5803,0.0016666666666666668
120,2,0.85,1,10,True,2577,73,0.8617511520737328,0.9651162790697675,0.9090909090909091,187.98833333333334,2282.3716666666664,286.6091521666668,3.926152769406393,1.8249971575342472,6.136565376712328,0.0033333333333333335,23.210399999999964,42.97113000000011,-8.973400000000002,0.0016666666666666668
120,2,0.85,1,15,True,2577,73,0.8617511520737328,0.9651162790697675,0.9090909090909091,187.56833333333333,2282.5433333333335,426.2672696666667,5.839277666666668,2.0685035273972607,9.090554212328765,0.0033333333333333335,29.443050000000085,61.63994000000011,-13.031600000000001,0.0016666666666666668
120,2,0.85,1,20,True,2577,73,0.8617511520737328,0.9651162790697675,0.9090909090909091,187.26,2282.7433333333333,583.9596878333333,7.999447778538814,3.0312253082191787,12.79997928082192,0.0033333333333333335,36.05884999999995,75.26930500000007,-17.1155,0.005
180,3,0.76,1,10,True,2577,73,0.8663594470046083,0.9767441860465116,0.9354838709677419,85.37666666666667,2298.33,162.02474733333338,2.2195170867579916,0.9696507191780825,3.4273439726027406,0.0016666666666666668,22.17414999999989,43.480659999999965,-8.047699999999999,0.0
180,3,0.76,1,15,True,2577,73,0.8663594470046083,0.9767441860465116,0.9354838709677419,83.77166666666666,2300.5716666666667,240.3921613333334,3.2930433059360733,1.150824143835617,5.1274931506849315,0.0016666666666666668,26.673399999999923,53.40462499999997,-11.5939,0.0
180,3,0.76,1,20,True,2577,73,0.8663594470046083,0.9767441860465116,0.9354838709677419,84.385,2299.173333333333,331.1409728333334,4.536177710045663,1.9293104109589045,7.29975654109589,0.0,30.1661,62.450399999999995,-15.4554,0.0
180,3,0.78,1,10,True,2577,73,0.8663594470046083,0.9767441860465116,0.9354838709677419,98.58,2298.8316666666665,182.5334576666667,2.5004583242009137,1.3218046232876717,3.707794246575343,0.0016666666666666668,22.55095000000009,43.84604999999986,-8.118,0.0
180,3,0.78,1,15,True,2577,73,0.8663594470046083,0.9767441860465116,0.9354838709677419,99.21333333333334,2298.3716666666664,280.89423633333337,3.8478662511415527,1.7849242808219186,5.900494931506849,0.0,25.87699999999998,53.15781999999997,-11.8802,0.0
180,3,0.78,1,20,True,2577,73,0.8663594470046083,0.9767441860465116,0.9354838709677419,98.12666666666667,2300.278333333333,373.18864800000006,5.1121732602739725,1.8927940410958912,8.09855448630137,0.0,29.623950000000022,66.0310699999999,-15.7294,0.0
180,3,0.8,1,10,True,2577,73,0.8663594470046083,0.9767441860465116,0.9354838709677419,116.04,2298.2116666666666,209.294596,2.8670492602739728,1.4598185273972608,4.227432773972604,0.0,21.320349999999962,42.340334999999946,-8.204699999999999,0.0
180,3,0.8,1,15,True,2577,73,0.8663594470046083,0.9767441860465116,0.9354838709677419,116.725,2297.5583333333334,321.1486925000001,4.399297157534247,1.8703214383561653,6.56597219178082,0.0,25.515300000000067,51.005804999999995,-12.082099999999999,0.0
180,3,0.8,1,20,True,2577,73,0.8663594470046083,0.9767441860465116,0.9354838709677419,116.22666666666667,2300.605,430.89543800000007,5.902677232876713,2.2942085958904115,9.007218150684931,0.0,30.552200000000013,65.8880699999999,-16.0323,0.0
180,3,0.82,1,10,True,2577,73,0.8663594470046083,0.9767441860465116,0.9354838709677419,127.27,2295.135,224.12775483333337,3.070243216894977,1.5527666095890413,4.5530126027397255,0.0,21.28699999999995,44.196119999999986,-8.3034,0.0
180,3,0.82,1,15,True,2577,73,0.8663594470046083,0.9767441860465116,0.9354838709677419,124.49333333333334,2300.943333333333,333.64424550000007,4.570469116438357,1.9021633219178087,6.857151301369863,0.0016666666666666668,25.2577500000001,55.37301999999975,-12.454999999999998,0.0
180,3,0.82,1,20,True,2577,73,0.8663594470046083,0.9767441860465116,0.9354838709677419,125.71333333333334,2297.9066666666668,448.8838236666667,6.149093474885845,2.4369467808219185,9.646341986301367,0.005,31.34605000000002,74.27015499999983,-16.4155,0.005
180,3,0.85,1,10,True,2577,73,0.8663594470046083,0.9767441860465116,0.9354838709677419,155.26,2297.5583333333334,253.2493216666667,3.469168789954338,1.5387002054794523,5.0555786986301365,0.0,21.433599999999963,42.07997500000003,-8.812,0.0
180,3,0.85,1,15,True,2577,73,0.8663594470046083,0.9767441860465116,0.9354838709677419,154.66833333333332,2300.605,386.02152750000005,5.2879661301369865,2.0787985958904116,7.980304657534245,0.0,25.68875000000007,55.34130500000015,-12.8839,0.0
180,3,0.85,1,20,True,2577,73,0.8663594470046083,0.9767441860465116,0.9354838709677419,154.87833333333333,2299.2066666666665,513.2239485,7.0304650479452055,3.1508877054794526,10.953676198630138,0.0033333333333333335,32.25155000000008,69.22430999999999,-17.096000000000004,0.0016666666666666668
300,5,0.76,1,10,True,2578,73,0.880184331797235,0.9883720930232558,0.9629629629629629,52.31333333333333,2333.225,112.88066350000004,1.5463104589041101,0.7875923972602745,2.260409863013699,0.0,23.000500000000073,36.966020000000206,-7.7277,0.0
300,5,0.76,1,15,True,2578,73,0.880184331797235,0.9883720930232558,0.9629629629629629,52.315,2332.7183333333332,171.27228000000002,2.3461956164383566,0.9658742808219182,3.6018074657534247,0.0,23.818749999999923,46.9870199999998,-11.4469,0.0
300,5,0.76,1,20,True,2578,73,0.880184331797235,0.9883720930232558,0.9629629629629629,52.098333333333336,2332.1066666666666,230.38426333333337,3.1559488127853887,1.4340630479452054,4.7954838698630144,0.0,25.74489999999991,51.978420000000376,-15.19215,0.0
300,5,0.78,1,10,True,2578,73,0.880184331797235,0.9883720930232558,0.9629629629629629,60.013333333333335,2332.8083333333334,126.10936633333336,1.727525566210046,0.9065088013698636,2.5303001369863014,0.0,23.022000000000087,37.14964999999996,-7.9202,0.0
