horizon,model,split,c,n,log_loss,brier,auc,calibration_intercept,calibration_slope
10,market,valid,10.0,9472,0.546311030513144,0.18489130673620777,0.794535895773721,0.0660003948060701,1.0409098506226087
10,market,test,10.0,8110,0.5479870373136473,0.1846263773101569,0.7955933728549476,0.03615247833012828,1.0627906876206188
10,blend,train,10.0,19695,0.5507643065567689,0.1864023251535128,0.7907819128122683,-2.348353160932029e-06,0.9998916859678864
10,blend,valid,10.0,9472,0.5464629526652137,0.1849407388842109,0.7944363623880165,0.06251032935400157,1.0488521835018296
10,blend,test,10.0,8110,0.5483954239393725,0.18476574053371228,0.7953592576534808,0.032144171180744044,1.0754772213872976
10,full,train,10.0,19695,0.549474199472793,0.18585420846790285,0.7920549477341248,-1.306015900942245e-05,0.9999231137309124
10,full,valid,10.0,9472,0.5456041948870545,0.18466587778503107,0.7948207418213205,0.0663090839849994,1.0323298671943946
10,full,test,10.0,8110,0.5494126477499823,0.18523958563435483,0.7941449181004323,0.041021370110041894,1.0397199317891868
10,raw_mid,train,,19695,0.5512034549873825,0.18651292305153594,0.790628992838775,-0.029547045389039586,1.0273364164358096
10,physical,train,,19695,0.5684761837879662,0.19266437611648024,0.7770395836227181,-0.0032589905692043397,0.8747230576440891
10,raw_mid,valid,,9472,0.5461392197574376,0.1847964307696368,0.794631773285908,0.03361178445536753,1.070998946614962
10,physical,valid,,9472,0.5645682050716763,0.19164597574160913,0.7789306882048146,0.05638899188835719,0.990448576959879
10,raw_mid,test,,8110,0.5479162760253415,0.18455421630702834,0.7960277237652295,-1.6363635840972463e-05,1.0959641871889416
10,physical,test,,8110,0.5703545147340094,0.19292625613992115,0.7794076733340536,0.05595378208648005,1.1136567245027036
8,market,train,0.1,19541,0.47371121495735796,0.15587105269423918,0.8538944790368144,6.382897563747282e-05,1.006858625300099
8,market,valid,0.1,9325,0.4739615913528178,0.155857745425034,0.8541560807314128,0.07098710056280685,0.9873327507283527
8,market,test,0.1,7970,0.4777386061596236,0.15656299891495315,0.8522174350519952,0.02744421621661084,1.011183197459463
8,blend,train,10.0,19541,0.47301456637160516,0.15571296431748058,0.8542267649051543,-3.1734287147099777e-06,0.9999040132653827
8,blend,valid,10.0,9325,0.4742605178656662,0.15594660095971524,0.8539025472945776,0.06314189978964636,0.9914938389730253
8,blend,test,10.0,7970,0.4786481423058565,0.15671278278508746,0.8519672716774247,0.019323894091607882,1.031781477893488
8,full,train,0.1,19541,0.47249903259704046,0.15554978916581932,0.8544676661337642,-7.209989662529918e-05,1.0048791582737555
8,full,valid,0.1,9325,0.4744950433420874,0.1559925504767456,0.8537427404979587,0.05382037307000121,0.991584155421519
8,full,test,0.1,7970,0.4795309598556197,0.15698403005547304,0.8514823124669031,0.002496282394250986,1.0285484724750913
8,raw_mid,train,,19541,0.47473634055713687,0.15604586954352387,0.8538032515954322,-0.017865463426646983,1.0875261972782124
8,physical,train,,19541,0.4890178062226943,0.16102953058359257,0.8438246567705066,-0.014163072890456343,0.9706477212574527
8,raw_mid,valid,,9325,0.47406423661151714,0.15579014780160858,0.854293991144845,0.05145647617208349,1.0680111990555232
8,physical,valid,,9325,0.494037945174038,0.1625018035491378,0.8413000977517107,0.048519102501980035,1.006149182424404
8,raw_mid,test,,7970,0.47856294009303035,0.1568065336574655,0.8522414625765165,0.004604920334198432,1.093366634212762
8,physical,test,,7970,0.5051198830307346,0.16589912655088793,0.8370719699622563,0.018966559401818246,1.132528255647669
6,market,train,0.1,19403,0.39982846735158034,0.12862854400728083,0.8992636238125244,8.311952745788964e-05,1.0104022269686084
6,market,valid,0.1,9163,0.398856563471838,0.1279235752371879,0.9002486675715476,0.08120126192115057,0.9706216353224645
6,market,test,0.1,7811,0.4024122020757282,0.12939000786839885,0.8982672643738034,0.056491865316986314,1.0024003801036467
6,blend,train,0.1,19403,0.39891703567604575,0.128460604718449,0.8996777573540354,-1.4338693195307386e-05,1.0057417756251488
6,blend,valid,0.1,9163,0.39822605197843625,0.1278220033198493,0.9004101978716401,0.06754980382724411,0.9890837533003879
6,blend,test,0.1,7811,0.4029612886844911,0.12944731694032371,0.8982523466129602,0.045005140480305794,1.035986187811596
6,full,train,1.0,19403,0.397464808812548,0.12814391455391205,0.9000680637867065,-5.3315869332212526e-05,1.0014334060548795
6,full,valid,1.0,9163,0.39843054325084626,0.1278587985395568,0.9002104824851225,0.03648810820764846,0.9691420448348833
6,full,test,1.0,7811,0.4025438487107673,0.12931771440912743,0.8981452010251878,-0.0017592848613698347,1.015544577589348
6,raw_mid,train,,19403,0.40102166156021907,0.1287476030897284,0.8991849140969744,0.010151481434915056,1.0946047583983178
6,physical,train,,19403,0.4175800272027843,0.13466791081490742,0.8897974530983852,-0.00515815324492311,1.0168657147563054
6,raw_mid,valid,,9163,0.39906061387564834,0.12792593072683622,0.9002282291410094,0.09009589975642204,1.0519349406711045
6,physical,valid,,9163,0.417395013834342,0.1343083272530532,0.8904166390739914,0.06329030511304069,1.0696027994874453
6,raw_mid,test,,7811,0.4033307838989119,0.12945915087696838,0.8982607071162899,0.06204636753835324,1.0866856091863828
6,physical,test,,7811,0.4322698623082161,0.13901990362117098,0.8845584650981444,0.08708387706854358,1.1935513439791832
4,market,train,0.1,19216,0.30941808611920457,0.0963685988321676,0.941308398122111,-4.6097790704308604e-05,1.0185837620527283
4,market,valid,0.1,9034,0.3129732124015393,0.09725437575644794,0.9402552002040896,0.11783541180499651,0.9638787330061512
4,market,test,0.1,7700,0.31422736866543133,0.09916289101917887,0.9394358810136093,0.11255150592123526,1.0003188393994296
4,blend,train,0.1,19216,0.30886179980547207,0.0962746397962315,0.9414808324553019,9.383970990804475e-05,1.010705627689961
4,blend,valid,0.1,9034,0.3121720203817159,0.09717649105358735,0.9404285832266691,0.10173087274197357,0.979768235543555
4,blend,test,0.1,7700,0.3144249753546239,0.0990590299212469,0.9395127008854832,0.09684645062381492,1.031861230322511
4,full,train,0.1,19216,0.3079486983147212,0.09603072122335013,0.9418107282724504,5.7222210450547616e-06,1.0075867908349616
4,full,valid,0.1,9034,0.31378583914878744,0.09773159581272559,0.9398970386669873,0.08517014900356995,0.9584767906157486
4,full,test,0.1,7700,0.31449195728627405,0.09912196336330437,0.9394646589454092,0.07929526858379547,0.9960315112703414
4,raw_mid,train,,19216,0.3102269783910973,0.09648939849604497,0.9412316751400458,0.024034712566751076,1.0732482811278088
4,physical,train,,19216,0.3309868330857777,0.10315589351911714,0.9326388853966089,-0.024030572009254476,1.0424797313493683
4,raw_mid,valid,,9034,0.3128081691060596,0.0972846673400487,0.9403470013069283,0.1415170968712606,1.0181165192142387
4,physical,valid,,9034,0.33608185713289507,0.10519637001837205,0.9309542241863313,0.07334658588794989,1.0749211559395022
