config,split,n,days,total_pnl,mean_day,sd_day,t_stat,edge_per_contract,win_rate,mean_ask,mean_bid_move_c,max_drawdown,worst_window,positive_day_fraction
d2_move4c_ask0.90_widen0c_volall,train,627,36,280.17500000000007,7.782638888888887,21.639239562348997,2.157923951014495,0.029790005316321113,0.8580542264752791,0.8180382775119617,11.601275917065394,113.90560000000008,-13.5945,0.6388888888888888
d2_move4c_ask0.90_widen0c_vol2k,train,308,36,95.66920000000002,2.6574777777777774,19.263430459768824,0.8277272679945095,0.02070761904761905,0.8441558441558441,0.8129870129870129,10.954545454545457,113.79460000000003,-13.5945,0.6111111111111112
d2_move4c_ask0.90_widen1c_volall,train,723,36,183.56839999999997,5.099122222222222,25.321815347652997,1.208236175538223,0.01692654679575841,0.8464730290456431,0.8193775933609958,11.496542185338866,169.35190000000006,-13.5945,0.5833333333333334
d2_move4c_ask0.90_widen1c_vol2k,train,329,36,110.91619999999999,3.0810055555555547,19.626039141448857,0.9419136077382055,0.022475420466058764,0.8449848024316109,0.8120060790273556,10.814589665653498,118.74790000000003,-13.5945,0.5833333333333334
d2_move4c_ask0.90_widennone_volall,train,825,36,197.41830000000002,5.483841666666666,28.311967334441807,1.162160495995384,0.01595299393939394,0.8472727272727273,0.8212242424242425,11.292121212121213,189.7579000000001,-13.5945,0.6111111111111112
d2_move4c_ask0.90_widennone_vol2k,train,332,36,118.69480000000001,3.2970777777777767,19.669826574137225,1.0057265422297896,0.023834297188755023,0.8463855421686747,0.8120481927710844,10.765060240963859,118.74790000000003,-13.5945,0.5833333333333334
d3_move0c_ask0.80_widen0c_volall,train,404,36,89.33849999999997,2.481624999999998,21.55402484792076,0.6908106539292752,0.014742326732673262,0.7846534653465347,0.7571287128712871,6.047029702970299,73.78879999999998,-12.168,0.5
d3_move0c_ask0.80_widen0c_vol2k,train,189,36,173.08699999999993,4.807972222222222,12.367946261771333,2.332467551423672,0.06105361552028216,0.8253968253968254,0.7513756613756614,5.703703703703705,47.86080000000001,-12.168,0.6388888888888888
d3_move0c_ask0.80_widen1c_volall,train,483,36,131.79999999999995,3.6611111111111083,25.323671209824646,0.8674361029511549,0.018191856452726012,0.7888198757763976,0.7578674948240166,5.979296066252589,103.53060000000002,-12.168,0.6111111111111112
d3_move0c_ask0.80_widen1c_vol2k,train,211,36,172.66360000000003,4.796211111111111,12.986955416236,2.2158593561266846,0.05455406003159559,0.8199052132701422,0.7524170616113743,5.597156398104268,43.727000000000004,-12.168,0.6111111111111112
d3_move0c_ask0.80_widennone_volall,train,575,36,60.63079999999987,1.6841888888888852,27.95727664737013,0.361449130428227,0.007029657971014478,0.7791304347826087,0.7593913043478261,5.693913043478262,175.24990000000017,-12.168,0.4166666666666667
d3_move0c_ask0.80_widennone_vol2k,train,212,36,175.2055,4.866819444444444,13.025463327252936,2.241833241015706,0.05509606918238994,0.8207547169811321,0.7527358490566037,5.636792452830191,43.727000000000004,-12.168,0.6111111111111112
d3_move0c_ask0.82_widen0c_volall,train,457,36,50.54259999999999,1.4039611111111094,23.10632425340706,0.3645654139655969,0.007373099927060539,0.7855579868708972,0.7657330415754924,6.5798687089715555,102.6617,-12.454999999999998,0.5277777777777778
d3_move0c_ask0.82_widen0c_vol2k,train,211,36,124.50239999999998,3.4583999999999997,14.466114336179864,1.434414212260378,0.03933725118483412,0.8104265402843602,0.7583886255924172,6.203791469194315,63.60959999999999,-12.454999999999998,0.5833333333333334
d3_move0c_ask0.82_widen1c_volall,train,546,36,83.40699999999991,2.316861111111109,26.540580431830133,0.5237702582417895,0.010184004884004873,0.7893772893772893,0.7667765567765568,6.525641025641027,133.44110000000006,-12.454999999999998,0.5
d3_move0c_ask0.82_widen1c_vol2k,train,234,36,126.76739999999998,3.521316666666666,15.262216295797746,1.3843271246140898,0.03611606837606837,0.8076923076923077,0.7588888888888888,6.094017094017096,60.77759999999999,-12.454999999999998,0.5277777777777778
d3_move0c_ask0.82_widennone_volall,train,647,36,31.543799999999905,0.8762166666666639,29.759841124849537,0.1766575291159779,0.0032502627511591864,0.7836166924265843,0.7679907264296754,6.272024729520867,187.87270000000018,-12.454999999999998,0.4444444444444444
d3_move0c_ask0.82_widennone_vol2k,train,236,36,131.99769999999998,3.6666027777777774,15.260939604577546,1.4415637068682088,0.037287485875706204,0.809322033898305,0.7593644067796609,6.131355932203392,60.77759999999999,-12.454999999999998,0.5277777777777778
d3_move0c_ask0.85_widen0c_volall,train,587,36,53.57830000000004,1.4882861111111116,24.044702280819163,0.37137979761097084,0.006084985803520732,0.8057921635434412,0.7881771720613288,8.514480408858603,164.70310000000006,-12.8839,0.5277777777777778
d3_move0c_ask0.85_widen0c_vol2k,train,292,36,141.58730000000003,3.9329805555555555,15.651970523918422,1.507662137318265,0.03232586757990868,0.8253424657534246,0.7812328767123288,7.756849315068495,77.36809999999997,-12.8839,0.5833333333333334
d3_move0c_ask0.85_widen1c_volall,train,683,36,107.53890000000007,2.987191666666668,28.551415950780797,0.6277499522579671,0.01049672035139093,0.8111273792093704,0.7891361639824305,8.509516837481698,165.8757000000001,-12.8839,0.5833333333333334
d3_move0c_ask0.85_widen1c_vol2k,train,316,36,143.3817,3.982825,16.876375374340398,1.4160001463545306,0.030249303797468353,0.8227848101265823,0.7807278481012657,7.6645569620253164,72.59639999999999,-12.8839,0.5
d3_move0c_ask0.85_widennone_volall,train,805,36,45.51300000000009,1.2642500000000012,30.25579837431402,0.25071227359975395,0.0037691925465838587,0.8062111801242235,0.7910186335403726,8.300621118012424,175.35630000000023,-12.8839,0.4722222222222222
d3_move0c_ask0.85_widennone_vol2k,train,319,36,135.44059999999996,3.7622388888888896,16.801078808819355,1.3435704689084556,0.028305245559038652,0.8213166144200627,0.7812225705329153,7.714733542319751,72.59639999999999,-12.8839,0.5
d3_move0c_ask0.88_widen0c_volall,train,677,36,23.173400000000072,0.6437055555555554,27.377943756513663,0.1410709791678363,0.002281969473165935,0.8168389955686853,0.8037223042836041,9.901033973412112,218.69850000000014,-13.3109,0.4722222222222222
d3_move0c_ask0.88_widen0c_vol2k,train,351,36,171.49460000000002,4.76373888888889,17.096768323220417,1.6718032784308932,0.03257257359924027,0.8404558404558404,0.7967806267806267,9.005698005698006,71.23129999999996,-13.3109,0.5
d3_move0c_ask0.88_widen1c_volall,train,781,36,110.79520000000002,3.0776444444444446,28.20555056003232,0.6546891055136173,0.009457550149381136,0.8245838668373879,0.8043149807938541,9.870678617157491,190.81300000000007,-13.3109,0.5277777777777778
d3_move0c_ask0.88_widen1c_vol2k,train,377,36,175.37870000000004,4.871630555555556,18.15355886089273,1.610140664831376,0.031013032714412032,0.8381962864721485,0.7960477453580902,8.90185676392573,66.4596,-13.3109,0.4722222222222222
d3_move0c_ask0.88_widennone_volall,train,922,36,44.76870000000004,1.2435750000000012,30.625999303452474,0.24363123390912103,0.0032370715835141023,0.8210412147505423,0.8071041214750542,9.741865509761388,229.35110000000014,-13.3109,0.5
d3_move0c_ask0.88_widennone_vol2k,train,380,36,167.43760000000003,4.651044444444445,18.003398133296066,1.5500555206328477,0.02937501754385965,0.8368421052631579,0.796342105263158,8.93421052631579,66.4596,-13.3109,0.4722222222222222
d3_move0c_ask0.90_widen0c_volall,train,715,36,50.744800000000026,1.4095777777777778,24.9163045862757,0.33943503288706683,0.004731449883449886,0.8265734265734266,0.8113706293706293,10.58041958041958,177.83260000000007,-13.5945,0.5833333333333334
d3_move0c_ask0.90_widen0c_vol2k,train,374,36,173.3906,4.816405555555556,15.496660277232907,1.8648168583646243,0.030907415329768272,0.8449197860962567,0.8032085561497325,9.622994652406417,72.08949999999999,-13.5945,0.5277777777777778
d3_move0c_ask0.90_widen1c_volall,train,823,36,132.43770000000004,3.6788250000000002,26.56851765854118,0.830793433178386,0.010728043742405834,0.8335358444714459,0.8123815309842041,10.596597812879708,160.2653,-13.5945,0.5555555555555556
d3_move0c_ask0.90_widen1c_vol2k,train,401,36,163.8219,4.550608333333334,16.19149521132931,1.6862957771123839,0.027235561097256857,0.8403990024937655,0.8023192019950125,9.49625935162095,67.2846,-13.5945,0.5
d3_move0c_ask0.90_widennone_volall,train,974,36,61.47510000000004,1.7076416666666674,30.437956006429822,0.33661425878385637,0.004207741273100619,0.8305954825462012,0.8161190965092402,10.460985626283367,205.0576,-13.5945,0.4722222222222222
d3_move0c_ask0.90_widennone_vol2k,train,405,36,157.2863,4.369063888888889,15.919295242461542,1.64670501640121,0.02589074897119342,0.8395061728395061,0.8027901234567901,9.52345679012346,65.8791,-13.5945,0.5277777777777778
d3_move1c_ask0.80_widen0c_volall,train,375,36,73.68119999999995,2.0466999999999977,21.566848028066463,0.5694017032075755,0.01309887999999999,0.7866666666666666,0.7609066666666666,6.514666666666668,77.5119,-12.168,0.5555555555555556
d3_move1c_ask0.80_widen0c_vol2k,train,170,36,90.57929999999998,2.516091666666666,12.519159055974397,1.2058757247592935,0.03552129411764705,0.8058823529411765,0.7575882352941176,6.341176470588237,49.2276,-12.168,0.6111111111111112
d3_move1c_ask0.80_widen1c_volall,train,451,36,119.61339999999993,3.322594444444442,23.559965529248906,0.8461628113130011,0.017681212121212108,0.7915742793791575,0.7612416851441242,6.4035476718403554,101.33410000000002,-12.168,0.6111111111111112
