ticker,series,side,frontier_bid,distance_c,multiplier,pool_reward,target,cumulative_ahead,guaranteed_capacity,rest_fraction,min_qty_for_1usd,modeled_reward,worst_one_fill_loss,reward_to_loss,fits_frontier,arithmetic_cover,scalable_candidate,reward_day_if_repeated
KXWTIMIN-26AUG31-T75.00,KXWTIMIN,yes,0.86,0.0,1.0,80.0,1000.0,10.0,990,0.5,51,1.0071587262404345,43.86,0.022963035253999873,True,False,False,0.23997345411063917
KXWTIMAX-26AUG31-T94.50,KXWTIMAX,no,0.86,0.0,1.0,80.0,1000.0,152.0,848,0.5,51,1.0071587262404345,43.86,0.022963035253999873,True,False,False,0.23997345424597022
KXWTIMAX-26AUG31-T95.00,KXWTIMAX,no,0.86,0.0,1.0,80.0,1000.0,155.0,845,0.5,51,1.0071587262404345,43.86,0.022963035253999873,True,False,False,0.2399734542492393
KXURBNCC-26SEP07-T100,KXURBNCC,yes,0.61,1.0000000000000009,0.4999999999999996,110.0,1000.0,834.36,165,0.5,74,1.00817438692098,45.14,0.022334390494483387,True,False,False,0.1969429855183412
KXTGTA-27MARCOMP-4.0,KXTGTA,no,0.56,0.9999999999999898,0.5000000000000036,100.0,1000.0,639.12,360,0.5,81,1.0023511941591456,45.36000000000001,0.022097689465589626,True,False,False,0.20083719917853676
KXAMZNCC-26SEP07-T109,KXAMZNCC,no,0.56,0.9999999999999898,0.5000000000000036,100.0,1000.0,823.0,177,0.5,81,1.0023511941591456,45.36000000000001,0.022097689465589626,True,False,False,0.1959752069889192
KXHOODA-27FEBECVOL-50000000000,KXHOODA,no,0.28,1.999999999999996,0.2500000000000006,100.0,1000.0,957.0,43,0.5,162,1.0023511941591412,45.36000000000001,0.02209768946558953,False,False,False,0.202535555881905
KXCAVAFT-26SEP07-T104,KXCAVAFT,yes,0.14,3.0,0.125,100.0,1000.0,970.0,30,0.5,324,1.0023511941591388,45.36000000000001,0.022097689465589477,False,False,False,0.192900951157608
KXCFACHICKSAND-26SEP02-T5.39,KXCFACHICKSAND,yes,0.12,4.000000000000001,0.0624999999999999,170.0,1000.0,787.0,213,0.5,379,1.000792183786637,45.48,0.022005105184402747,False,False,False,0.15692390156443575
KXCMGFT-26SEP07-T106,KXCMGFT,no,0.59,1.0000000000000009,0.4999999999999996,100.0,1000.0,891.22,108,0.5,81,1.002351194159138,47.79,0.02097407813683068,True,False,False,0.1928647912335201
KXNETFLIXTOPVIEWSMOVIE-26AUG10-30,KXNETFLIXTOPVIEWSMOVIE,no,0.96,0.0,1.0,80.0,1000.0,36.0,964,0.5,51,1.0071587262404345,48.96,0.020571052415041553,True,False,False,0.23997345432246256
KXWENCC-26SEP07-T86,KXWENCC,yes,0.61,1.0000000000000009,0.4999999999999996,100.0,1000.0,872.0,128,0.5,81,1.002351194159138,49.41,0.020286403443819837,True,False,False,0.1959752066832738
KXLOWCC-26SEP07-T96,KXLOWCC,no,0.34,1.999999999999996,0.2500000000000006,110.0,1000.0,899.0,101,0.5,147,1.0014244132036936,49.980000000000004,0.02003650286521996,False,False,False,0.1956367382797107
KXISMPMI-26AUG-52,KXISMPMI,yes,0.85,1.0000000000000009,0.4999999999999996,125.0,1000.0,12.0,988,0.5,65,1.0074395536267815,55.25,0.018234200065643105,True,False,False,0.18754697491980776
KXTOPMODEL-26AUG31-CLAU5,KXTOPMODEL,no,0.83,2.0000000000000018,0.2499999999999997,240.0,1000.0,825.71,174,0.5,67,1.0008091118441513,55.61,0.017996927024710507,True,False,False,0.1813840677773799
KXWTIMIN-26AUG31-T74.50,KXWTIMIN,yes,0.55,1.0000000000000009,0.4999999999999996,80.0,1000.0,271.0,729,0.5,102,1.0071587262404336,56.1,0.017952918471308976,True,False,False,0.24003343248284548
KXTRUMPACT-26AUG02-T7,KXTRUMPACT,no,0.58,3.0000000000000027,0.1249999999999997,100.0,300.0,230.0,70,0.5,97,1.0003093740332036,56.26,0.0177801168509279,False,False,False,0.1460820925791086
KXUST10AM-26AUG31-T4.60,KXUST10AM,yes,0.7,1.0000000000000009,0.4999999999999996,100.0,1000.0,738.0,262,0.5,81,1.002351194159138,56.699999999999996,0.017678151572471573,True,False,False,0.18984705758207865
KXTGTFT-26SEP07-T92,KXTGTFT,yes,0.7,1.0000000000000009,0.4999999999999996,100.0,1000.0,942.0,58,0.5,81,1.002351194159138,56.699999999999996,0.017678151572471573,False,False,False,0.19286479106637255
KXHSI-26AUG31-29500,KXHSI,no,0.96,1.0000000000000009,0.4999999999999996,135.0,1000.0,804.0,196,0.5,60,1.0049627791563267,57.599999999999994,0.017447270471464008,True,False,False,0.165305317994352
KXMAXSHIPSHORMUZ-26AUG31-AL80,KXMAXSHIPSHORMUZ,no,0.89,1.0000000000000009,0.4999999999999996,125.0,1000.0,910.01,89,0.5,65,1.0074395536267815,57.85,0.01741468545595128,True,False,False,0.18754697490978475
KXEURUSDAW-26AUG07-1.1550,KXEURUSDAW,yes,0.22,3.0,0.125,120.0,1000.0,540.9,459,0.5,269,1.0003408844401749,59.18,0.01690336066982384,True,False,False,0.23511386090955488
