ticker,series,coin,wkey,a0,a1,ret,result,volume,oi
KXZEC15M-26JUL040045-45,KXZEC15M,ZEC,26JUL040045,461.4608,463.3246,0.004038912947751942,yes,1130.48,795.76
KXZEC15M-26JUL040030-30,KXZEC15M,ZEC,26JUL040030,459.7525,461.4608,0.0037156948575592483,yes,269.29,102.81
KXZEC15M-26JUL040015-15,KXZEC15M,ZEC,26JUL040015,460.8224,459.7525,-0.0023217187358948225,no,1209.77,749.97
KXZEC15M-26JUL040000-00,KXZEC15M,ZEC,26JUL040000,461.0115,460.8224,-0.00041018499538513956,no,1630.76,816.95
KXZEC15M-26JUL032345-45,KXZEC15M,ZEC,26JUL032345,459.7629,461.0115,0.0027157476168695,yes,538.91,269.29
KXZEC15M-26JUL032330-30,KXZEC15M,ZEC,26JUL032330,459.7444,459.7629,4.0239750609289166e-05,yes,2986.09,989.03
KXZEC15M-26JUL032315-15,KXZEC15M,ZEC,26JUL032315,458.7447,459.7444,0.002179207737985772,yes,362.89,229.31
KXZEC15M-26JUL032300-00,KXZEC15M,ZEC,26JUL032300,458.6531,458.7447,0.00019971520959964756,yes,903.11,279.69
KXZEC15M-26JUL032245-45,KXZEC15M,ZEC,26JUL032245,459.7343,458.6531,-0.002351793198810756,no,1183.71,593.74
KXZEC15M-26JUL032230-30,KXZEC15M,ZEC,26JUL032230,461.6217,459.7343,-0.004088629282375497,no,359.07,253.99
KXZEC15M-26JUL032215-15,KXZEC15M,ZEC,26JUL032215,461.4681,461.6217,0.0003328507430957483,yes,1182.93,495.53
KXZEC15M-26JUL032200-00,KXZEC15M,ZEC,26JUL032200,459.223,461.4681,0.004888910180892462,yes,259.91,212.46
KXZEC15M-26JUL032145-45,KXZEC15M,ZEC,26JUL032145,459.449,459.223,-0.0004918935507531828,no,3096.77,2800.84
KXZEC15M-26JUL032130-30,KXZEC15M,ZEC,26JUL032130,458.3722,459.449,0.002349182607496684,yes,149.31,121.78
KXZEC15M-26JUL032115-15,KXZEC15M,ZEC,26JUL032115,463.7598,458.3722,-0.011617220811290595,no,835.21,664.99
KXZEC15M-26JUL032100-00,KXZEC15M,ZEC,26JUL032100,461.8034,463.7598,0.004236434811870102,yes,730.35,424.5
KXZEC15M-26JUL032045-45,KXZEC15M,ZEC,26JUL032045,462.7154,461.8034,-0.0019709739507264676,no,284.62,148.45
KXZEC15M-26JUL032030-30,KXZEC15M,ZEC,26JUL032030,462.81,462.7154,-0.00020440353492797046,no,462.79,159.65
KXZEC15M-26JUL032015-15,KXZEC15M,ZEC,26JUL032015,460.5989,462.81,0.004800489102340426,yes,367.87,190.87
KXZEC15M-26JUL032000-00,KXZEC15M,ZEC,26JUL032000,461.9792,460.5989,-0.002987796853191609,no,300.82,174.83
KXZEC15M-26JUL031945-45,KXZEC15M,ZEC,26JUL031945,460.9199,461.9792,0.0022982301263191444,yes,446.14,407.94
KXZEC15M-26JUL031930-30,KXZEC15M,ZEC,26JUL031930,461.2567,460.9199,-0.0007301790955015706,no,1859.77,861.66
KXZEC15M-26JUL031915-15,KXZEC15M,ZEC,26JUL031915,464.2086,461.2567,-0.006358994641633022,no,352.74,241.99
KXZEC15M-26JUL031900-00,KXZEC15M,ZEC,26JUL031900,462.2656,464.2086,0.004203211314015111,yes,996.66,620.52
KXZEC15M-26JUL031845-45,KXZEC15M,ZEC,26JUL031845,461.7641,462.2656,0.0010860523804254627,yes,1387.54,610.53
KXZEC15M-26JUL031830-30,KXZEC15M,ZEC,26JUL031830,461.3249,461.7641,0.0009520405250182055,yes,1306.63,394.64
KXZEC15M-26JUL031815-15,KXZEC15M,ZEC,26JUL031815,464.6498,461.3249,-0.007155711677913158,no,216.58,117.53
KXZEC15M-26JUL031800-00,KXZEC15M,ZEC,26JUL031800,464.6098,464.6498,8.609375006730478e-05,yes,2182.51,1395.31
KXZEC15M-26JUL031745-45,KXZEC15M,ZEC,26JUL031745,464.0786,464.6098,0.0011446336892069846,yes,550.92,169.79
KXZEC15M-26JUL031730-30,KXZEC15M,ZEC,26JUL031730,465.4231,464.0786,-0.002888769379946939,no,1456.08,769.85
KXZEC15M-26JUL031715-15,KXZEC15M,ZEC,26JUL031715,464.9175,465.4231,0.0010875047723519946,yes,265.33,122.38
KXZEC15M-26JUL031700-00,KXZEC15M,ZEC,26JUL031700,463.3438,464.9175,0.0033963980957553135,yes,209.0,158.53
KXZEC15M-26JUL031645-45,KXZEC15M,ZEC,26JUL031645,463.7481,463.3438,-0.0008718095017532896,no,724.77,328.45
KXZEC15M-26JUL031630-30,KXZEC15M,ZEC,26JUL031630,462.5011,463.7481,0.002696209803609146,yes,987.09,563.92
KXZEC15M-26JUL031615-15,KXZEC15M,ZEC,26JUL031615,460.0982,462.5011,0.005222580744719253,yes,1728.79,1072.71
KXZEC15M-26JUL031600-00,KXZEC15M,ZEC,26JUL031600,461.1682,460.0982,-0.002320194670838087,no,673.16,455.7
KXZEC15M-26JUL031545-45,KXZEC15M,ZEC,26JUL031545,460.6457,461.1682,0.0011342773849838095,yes,404.8,169.42
KXZEC15M-26JUL031530-30,KXZEC15M,ZEC,26JUL031530,459.7978,460.6457,0.0018440714592370417,yes,217.6,119.73
KXZEC15M-26JUL031515-15,KXZEC15M,ZEC,26JUL031515,461.1866,459.7978,-0.0030113624290037987,no,39.39,36.67
KXZEC15M-26JUL031500-00,KXZEC15M,ZEC,26JUL031500,460.4643,461.1866,0.0015686340938917923,yes,498.02,266.96
KXZEC15M-26JUL031445-45,KXZEC15M,ZEC,26JUL031445,457.0766,460.4643,0.007411667978627642,yes,280.78,251.48
KXZEC15M-26JUL031430-30,KXZEC15M,ZEC,26JUL031430,455.3793,457.0766,0.0037272225593038247,yes,1078.71,753.31
KXZEC15M-26JUL031415-15,KXZEC15M,ZEC,26JUL031415,454.6003,455.3793,0.0017135932378399142,yes,311.5,160.66
KXZEC15M-26JUL031400-00,KXZEC15M,ZEC,26JUL031400,456.0981,454.6003,-0.003283942643041012,no,552.91,314.3
KXZEC15M-26JUL031345-45,KXZEC15M,ZEC,26JUL031345,458.034,456.0981,-0.00422654213442671,no,213.49,126.22
KXZEC15M-26JUL031330-30,KXZEC15M,ZEC,26JUL031330,458.3414,458.034,-0.0006706791051387233,no,544.1,207.15
KXZEC15M-26JUL031315-15,KXZEC15M,ZEC,26JUL031315,457.0174,458.3414,0.0028970450578030774,yes,660.23,341.18
KXZEC15M-26JUL031300-00,KXZEC15M,ZEC,26JUL031300,457.467,457.0174,-0.0009828031311547617,no,721.94,254.97
KXZEC15M-26JUL031245-45,KXZEC15M,ZEC,26JUL031245,460.4126,457.467,-0.006397739766461676,no,196.94,143.48
KXZEC15M-26JUL031230-30,KXZEC15M,ZEC,26JUL031230,458.8318,460.4126,0.0034452712301109266,yes,538.18,376.39
KXZEC15M-26JUL031215-15,KXZEC15M,ZEC,26JUL031215,459.8203,458.8318,-0.002149752849102112,no,534.37,206.05
KXZEC15M-26JUL031200-00,KXZEC15M,ZEC,26JUL031200,463.6959,459.8203,-0.008358063981156658,no,738.77,540.31
KXZEC15M-26JUL031145-45,KXZEC15M,ZEC,26JUL031145,464.1935,463.6959,-0.0010719667552431845,no,447.57,279.3
KXZEC15M-26JUL031130-30,KXZEC15M,ZEC,26JUL031130,466.5955,464.1935,-0.005147927916150164,no,641.57,509.59
KXZEC15M-26JUL031115-15,KXZEC15M,ZEC,26JUL031115,461.7853,466.5955,0.01041652906664636,yes,406.28,356.05
KXZEC15M-26JUL031100-00,KXZEC15M,ZEC,26JUL031100,458.3074,461.7853,0.007588574829906813,yes,256.55,208.25
KXZEC15M-26JUL031045-45,KXZEC15M,ZEC,26JUL031045,457.9841,458.3074,0.0007059197033258592,yes,416.47,300.57
KXZEC15M-26JUL031030-30,KXZEC15M,ZEC,26JUL031030,457.5113,457.9841,0.0010334170981132194,yes,654.9,419.29
KXZEC15M-26JUL031015-15,KXZEC15M,ZEC,26JUL031015,463.2939,457.5113,-0.012481493928583998,no,380.59,281.07
KXZEC15M-26JUL031000-00,KXZEC15M,ZEC,26JUL031000,464.239,463.2939,-0.0020358048332862343,no,339.05,143.7
