coin,wkey,ticker,day,hour,minute,secs,px,vol,frac_long,won,edge
XRP,26JUL251315,KXXRP15M-26JUL251315-15,2026-07-25,17,5,353.6579530239105,0.64,15769.490000000014,0.5590764190852083,1,0.36
XRP,26JUL251315,KXXRP15M-26JUL251315-15,2026-07-25,17,4,299.0615429878235,0.8,16688.11000000001,0.5450497390057952,1,0.19999999999999996
XRP,26JUL251315,KXXRP15M-26JUL251315-15,2026-07-25,17,3,239.0937569141388,0.75,20117.959999999995,0.538768841373579,1,0.25
XRP,26JUL251315,KXXRP15M-26JUL251315-15,2026-07-25,17,2,173.62001991271973,0.948,22662.879999999957,0.5485988541615201,1,0.052000000000000046
XRP,26JUL251330,KXXRP15M-26JUL251330-30,2026-07-25,17,14,883.6290919780731,0.55,0.0,0.0,1,0.44999999999999996
XRP,26JUL251330,KXXRP15M-26JUL251330-30,2026-07-25,17,13,838.1142671108246,0.68,407.37,0.38102953089329117,1,0.31999999999999995
XRP,26JUL251330,KXXRP15M-26JUL251330-30,2026-07-25,17,12,779.6106359958649,0.71,973.15,0.6523249242151775,1,0.29000000000000004
XRP,26JUL251330,KXXRP15M-26JUL251330-30,2026-07-25,17,11,708.2202169895172,0.61,2177.5200000000004,0.7426751533855026,1,0.39
XRP,26JUL251330,KXXRP15M-26JUL251330-30,2026-07-25,17,10,656.7307078838348,0.58,2341.330000000001,0.7170710664451398,1,0.42000000000000004
XRP,26JUL251330,KXXRP15M-26JUL251330-30,2026-07-25,17,9,599.0006399154663,0.61,2695.8700000000013,0.6615081587762018,1,0.39
XRP,26JUL251330,KXXRP15M-26JUL251330-30,2026-07-25,17,8,538.3097178936005,0.65,3896.7100000000028,0.6417131374929104,0,-0.65
XRP,26JUL251330,KXXRP15M-26JUL251330-30,2026-07-25,17,7,476.54635190963745,0.7,5613.120000000007,0.552639173935351,1,0.30000000000000004
XRP,26JUL251330,KXXRP15M-26JUL251330-30,2026-07-25,17,6,418.5162808895111,0.79,6971.970000000012,0.5193252409290339,1,0.20999999999999996
XRP,26JUL251330,KXXRP15M-26JUL251330-30,2026-07-25,17,5,358.72452092170715,0.942,8596.990000000014,0.5072949951087529,1,0.05800000000000005
XRP,26JUL251330,KXXRP15M-26JUL251330-30,2026-07-25,17,4,299.88921308517456,0.927,9234.750000000013,0.5076596551070681,1,0.07299999999999995
XRP,26JUL251345,KXXRP15M-26JUL251345-45,2026-07-25,17,14,892.0106780529022,0.54,0.0,0.0,1,0.45999999999999996
XRP,26JUL251345,KXXRP15M-26JUL251345-45,2026-07-25,17,13,830.439670085907,0.54,275.01,0.6544125668157522,0,-0.54
XRP,26JUL251345,KXXRP15M-26JUL251345-45,2026-07-25,17,12,764.178915977478,0.5,746.4999999999998,0.30689886135298067,0,-0.5
XRP,26JUL251345,KXXRP15M-26JUL251345-45,2026-07-25,17,11,719.1932508945465,0.6599999999999999,1937.3999999999999,0.16101992360896047,0,-0.6599999999999999
XRP,26JUL251345,KXXRP15M-26JUL251345-45,2026-07-25,17,10,659.2296829223633,0.61,2595.070000000001,0.3198796178908467,0,-0.61
XRP,26JUL251345,KXXRP15M-26JUL251345-45,2026-07-25,17,9,599.945111989975,0.74,4098.180000000002,0.3078586104075466,1,0.26
XRP,26JUL251345,KXXRP15M-26JUL251345-45,2026-07-25,17,8,530.998044013977,0.78,5174.190000000004,0.3793405344604659,1,0.21999999999999997
XRP,26JUL251345,KXXRP15M-26JUL251345-45,2026-07-25,17,7,479.0756220817566,0.78,5975.040000000006,0.4276691034704365,1,0.21999999999999997
XRP,26JUL251345,KXXRP15M-26JUL251345-45,2026-07-25,17,6,416.15307092666626,0.8,6547.180000000008,0.4342495547701449,1,0.19999999999999996
XRP,26JUL251345,KXXRP15M-26JUL251345-45,2026-07-25,17,5,359.0976650714874,0.92,7208.870000000011,0.4417641044990403,1,0.07999999999999996
XRP,26JUL251400,KXXRP15M-26JUL251400-00,2026-07-25,18,14,895.0478100776672,0.54,35.08,0.0,1,0.45999999999999996
XRP,26JUL251400,KXXRP15M-26JUL251400-00,2026-07-25,18,13,837.6262540817261,0.6,1039.42,0.8061418868214966,1,0.4
XRP,26JUL251400,KXXRP15M-26JUL251400-00,2026-07-25,18,12,777.9348199367523,0.73,2072.4800000000005,0.7436308191152626,1,0.27
XRP,26JUL251400,KXXRP15M-26JUL251400-00,2026-07-25,18,11,719.49844789505,0.72,3113.4800000000027,0.6819635905803147,1,0.28
XRP,26JUL251400,KXXRP15M-26JUL251400-00,2026-07-25,18,10,659.7825880050659,0.922,6480.530000000006,0.736831709752134,1,0.07799999999999996
XRP,26JUL251400,KXXRP15M-26JUL251400-00,2026-07-25,18,9,586.3043010234833,0.9410000000000001,8766.160000000007,0.6849509933653956,1,0.05899999999999994
