wkey,coin,day,minute,px,vol,frac_long,maker_yes,won,edge,yes_px,hour,sd,rng,vb,blk,vresid
26AUG010415,SOL,2026-08-01,9,0.68,3398.169999999999,0.48182404058655115,True,1,0.31999999999999995,0.68,8,0.07404953297174353,0.22999999999999998,lowest,08-13,0.08566037735849052
26AUG010415,XRP,2026-08-01,9,0.6799999999999999,2618.1400000000012,0.6972583589876779,False,1,0.32000000000000006,0.32000000000000006,8,0.1038915518483315,0.276,lowest,08-13,0.08566037735849064
26AUG010430,SOL,2026-08-01,8,0.7,4948.550000000003,0.3590991300481957,True,1,0.30000000000000004,0.7,8,0.11524677080863566,0.35,lowest,08-13,0.06566037735849062
26AUG010445,DOGE,2026-08-01,9,0.79,2147.75,0.41199860318938425,True,1,0.20999999999999996,0.79,8,0.10371954294993586,0.43299999999999994,lowest,08-13,-0.024339622641509462
26AUG010445,XRP,2026-08-01,9,0.73,3279.670000000001,0.1895556565142224,True,0,-0.73,0.73,8,0.12109037446419423,0.49,low,08-13,-0.9470142180094787
26AUG010500,SOL,2026-08-01,8,0.74,2056.2999999999997,0.46283616203861316,True,1,0.26,0.74,9,0.18784639114624135,0.5000000000000001,high,08-13,0.13260663507109005
26AUG010515,DOGE,2026-08-01,11,0.75,2693.4700000000003,0.22988189955707689,False,1,0.25,0.25,9,0.19444093647629293,0.507,highest,08-13,0.4660849056603773
26AUG010530,DOGE,2026-08-01,9,0.71,2409.2399999999993,0.36223871428334253,False,1,0.29000000000000004,0.29000000000000004,9,0.1824741368141266,0.586,high,08-13,0.16260663507109008
26AUG010545,XRP,2026-08-01,12,0.69,2814.7800000000007,0.8600565585942773,False,0,-0.69,0.31000000000000005,9,0.16489701525808653,0.5199999999999999,high,08-13,-0.8173933649289099
26AUG010545,DOGE,2026-08-01,10,0.78,2989.530000000001,0.38385632524176017,True,1,0.21999999999999997,0.78,9,0.1592168332809066,0.44000000000000006,mid,08-13,-0.005849056603773634
26AUG010545,SOL,2026-08-01,8,0.67,2435.8300000000004,0.3332950164830878,True,1,0.32999999999999996,0.67,9,0.10497835274690948,0.29000000000000004,lowest,08-13,0.09566037735849053
26AUG010600,XRP,2026-08-01,9,0.69,2191.0000000000005,0.5641168416248289,False,1,0.31000000000000005,0.31000000000000005,10,0.11757976016304844,0.34999999999999987,lowest,08-13,0.07566037735849063
26AUG010630,DOGE,2026-08-01,11,0.73,2045.54,0.3822511415078658,True,1,0.27,0.73,10,0.15300754129227648,0.503,mid,08-13,0.04415094339622641
26AUG010630,XRP,2026-08-01,11,0.78,2952.3399999999997,0.16567874973749636,True,1,0.21999999999999997,0.78,10,0.20679999539467617,0.45199999999999996,highest,08-13,0.4360849056603773
26AUG010645,SOL,2026-08-01,11,0.6699999999999999,2992.4400000000005,0.7021193407386616,False,0,-0.6699999999999999,0.33000000000000007,10,0.08254757757864589,0.29000000000000004,lowest,08-13,-0.9043396226415094
26AUG010700,DOGE,2026-08-01,8,0.7,3790.7500000000005,0.6323471608520739,False,0,-0.7,0.30000000000000004,11,0.19437935418488592,0.5599999999999999,highest,08-13,-0.48391509433962265
26AUG010700,SOL,2026-08-01,8,0.74,4223.010000000004,0.384474580926874,False,1,0.26,0.26,11,0.1306510503964548,0.4,low,08-13,0.04298578199052133
26AUG010715,DOGE,2026-08-01,9,0.74,2077.2800000000007,0.31130613109450817,True,1,0.26,0.74,11,0.17090667309701776,0.43000000000000005,high,08-13,0.13260663507109005
26AUG010715,SOL,2026-08-01,8,0.65,8669.970000000003,0.2735568865866894,False,0,-0.65,0.35,11,0.13749931129304105,0.45999999999999996,low,08-13,-0.8670142180094786
