coin,wkey,day,px,maker_yes,vol,frac_long,won,edge
ETH,26AUG040830,2026-08-04,0.6799999999999999,False,16586.390000000007,0.40184030400828613,0,-0.6799999999999999
ETH,26AUG040815,2026-08-04,0.65,False,3483.4699999999993,0.37956692608232595,1,0.35
ETH,26AUG040800,2026-08-04,0.67,True,5198.470000000001,0.3689797190327153,1,0.32999999999999996
ETH,26AUG040745,2026-08-04,0.6599999999999999,False,4279.79,0.20143979027008338,0,-0.6599999999999999
ETH,26AUG040730,2026-08-04,0.68,True,27541.239999999983,0.4277196669431009,1,0.31999999999999995
ETH,26AUG040715,2026-08-04,0.66,True,3634.4200000000005,0.49299475569691986,1,0.33999999999999997
ETH,26AUG040645,2026-08-04,0.71,True,1254.74,0.5695283485024787,1,0.29000000000000004
ETH,26AUG040630,2026-08-04,0.72,False,2421.3400000000006,0.6095261301593331,0,-0.72
ETH,26AUG040615,2026-08-04,0.6699999999999999,False,3697.78,0.32319391634980976,1,0.33000000000000007
ETH,26AUG040600,2026-08-04,0.6699999999999999,False,11751.749999999996,0.5641185355372607,0,-0.6699999999999999
ETH,26AUG040545,2026-08-04,0.6599999999999999,False,15097.810000000001,0.5223830476075668,1,0.3400000000000001
ETH,26AUG040530,2026-08-04,0.6799999999999999,False,4387.429999999999,0.38739535445579765,1,0.32000000000000006
ETH,26AUG040515,2026-08-04,0.6699999999999999,False,27715.48999999997,0.37636715064391835,1,0.33000000000000007
ETH,26AUG040500,2026-08-04,0.7,False,6216.550000000005,0.4196861603300863,1,0.30000000000000004
ETH,26AUG040445,2026-08-04,0.65,False,8579.02,0.4689813055570449,1,0.35
ETH,26AUG040430,2026-08-04,0.6699999999999999,False,5773.450000000002,0.47959538923867,1,0.33000000000000007
ETH,26AUG040415,2026-08-04,0.68,True,4332.78,0.45282474531363237,0,-0.68
ETH,26AUG040400,2026-08-04,0.84,True,10423.509999999998,0.3880017383779553,1,0.16000000000000003
ETH,26AUG040345,2026-08-04,0.7,True,4323.92,0.5237816610853115,1,0.30000000000000004
ETH,26AUG040330,2026-08-04,0.6599999999999999,False,4931.42,0.3262954686479756,0,-0.6599999999999999
ETH,26AUG040315,2026-08-04,0.67,True,1732.7299999999998,0.10601767153566917,0,-0.67
ETH,26AUG040300,2026-08-04,0.69,False,2071.91,0.13625109198758634,0,-0.69
ETH,26AUG040245,2026-08-04,0.65,True,7465.799999999999,0.4493396554957272,0,-0.65
ETH,26AUG040230,2026-08-04,0.84,True,10485.770000000006,0.42417199690628343,0,-0.84
ETH,26AUG040215,2026-08-04,0.78,False,0.0,0.0,1,0.21999999999999997
ETH,26AUG040200,2026-08-04,0.71,False,12595.710000000006,0.44151461092705363,1,0.29000000000000004
ETH,26AUG040145,2026-08-04,0.65,True,6460.72,0.5393377208732154,1,0.35
ETH,26AUG040115,2026-08-04,0.6699999999999999,False,2774.27,0.2450446423743904,1,0.33000000000000007
ETH,26AUG040045,2026-08-04,0.66,True,7065.560000000006,0.4508149389432681,1,0.33999999999999997
ETH,26AUG040030,2026-08-04,0.67,True,8501.349999999999,0.34903162438906793,1,0.32999999999999996
ETH,26AUG040015,2026-08-04,0.75,False,1419.49,0.06860914835609973,1,0.25
ETH,26AUG040000,2026-08-04,0.7,True,138.0,0.0,0,-0.7
ETH,26AUG032345,2026-08-04,0.84,True,12431.110000000002,0.6742551550102925,1,0.16000000000000003
ETH,26AUG032315,2026-08-04,0.7,False,11901.450000000004,0.30500569258367666,1,0.30000000000000004
