ticker,coin,date,close,side,px,won,edge,vol,mins_left,a0,a1,ret
KXBTC15M-26MAY261700-00,BTC,2026-05-26,2026-05-26T21:00:00+00:00,yes,0.68,1,0.31999999999999995,22217.55,11.0,75978.23,76006.78,0.00037576553178460346
KXBTC15M-26MAY262300-00,BTC,2026-05-27,2026-05-27T03:00:00+00:00,yes,0.73,1,0.27,29505.78,13.0,75617.69,75712.07,0.001248120644785693
KXBTC15M-26MAY270200-00,BTC,2026-05-27,2026-05-27T06:00:00+00:00,yes,0.75,1,0.25,42576.42,13.0,75518.13,75615.66,0.0012914779537046115
KXBTC15M-26MAY270800-00,BTC,2026-05-27,2026-05-27T12:00:00+00:00,no,0.6699999999999999,1,0.33000000000000007,15716.91,12.0,75712.93,75642.91,-0.0009248090121461358
KXBTC15M-26MAY271100-00,BTC,2026-05-27,2026-05-27T15:00:00+00:00,yes,0.68,0,-0.68,28657.43,13.0,74936.19,74932.34,-5.1377044923231625e-05
KXBTC15M-26MAY271400-00,BTC,2026-05-27,2026-05-27T18:00:00+00:00,yes,0.66,0,-0.66,26812.48,8.0,74786.7,74737.07,-0.0006636206705201607
KXBTC15M-26MAY271700-00,BTC,2026-05-27,2026-05-27T21:00:00+00:00,yes,0.7,1,0.30000000000000004,27816.35,11.0,75128.34,75155.74,0.0003647092428770386
KXBTC15M-26MAY272000-00,BTC,2026-05-28,2026-05-28T00:00:00+00:00,yes,0.71,1,0.29000000000000004,44688.82,14.0,74242.59,74336.97,0.00127123797809323
KXBTC15M-26MAY272300-00,BTC,2026-05-28,2026-05-28T03:00:00+00:00,yes,0.74,1,0.26,41723.32,11.0,74143.24,74154.13,0.00014687785427234387
KXBTC15M-26MAY280200-00,BTC,2026-05-28,2026-05-28T06:00:00+00:00,no,0.77,1,0.22999999999999998,44108.25,11.0,72889.24,72857.68,-0.0004329857191543254
KXBTC15M-26MAY280800-00,BTC,2026-05-28,2026-05-28T12:00:00+00:00,no,0.65,0,-0.65,19153.32,9.0,73345.78,73394.09,0.0006586609345486226
KXBTC15M-26MAY281100-00,BTC,2026-05-28,2026-05-28T15:00:00+00:00,no,0.6799999999999999,0,-0.6799999999999999,44904.22,13.0,72717.18,72889.01,0.0023629904239961144
KXBTC15M-26MAY281700-00,BTC,2026-05-28,2026-05-28T21:00:00+00:00,no,0.75,1,0.25,31980.96,14.0,73601.87,73483.83,-0.0016037636000280102
KXBTC15M-26MAY282000-00,BTC,2026-05-29,2026-05-29T00:00:00+00:00,no,0.6699999999999999,0,-0.6699999999999999,38601.75,13.0,73505.71,73535.7,0.0004079955149061302
KXBTC15M-26MAY282300-00,BTC,2026-05-29,2026-05-29T03:00:00+00:00,yes,0.67,0,-0.67,23006.54,14.0,73234.36,73107.42,-0.0017333393778549075
KXBTC15M-26MAY290500-00,BTC,2026-05-29,2026-05-29T09:00:00+00:00,no,0.6799999999999999,1,0.32000000000000006,16334.2,11.0,73679.03,73551.32,-0.001733329008267235
KXBTC15M-26MAY290800-00,BTC,2026-05-29,2026-05-29T12:00:00+00:00,no,0.79,1,0.20999999999999996,30731.32,10.0,73414.95,73373.64,-0.0005626919312755464
KXBTC15M-26MAY291400-00,BTC,2026-05-29,2026-05-29T18:00:00+00:00,no,0.79,1,0.20999999999999996,64336.74,14.0,74148.52,73895.96,-0.003406136764428982
KXBTC15M-26MAY291700-00,BTC,2026-05-29,2026-05-29T21:00:00+00:00,yes,0.68,0,-0.68,34005.38,14.0,73607.18,73574.33,-0.0004462879844057505
KXBTC15M-26MAY292000-00,BTC,2026-05-30,2026-05-30T00:00:00+00:00,yes,0.68,1,0.31999999999999995,40744.63,10.0,73322.91,73377.45,0.0007438329984447371
KXBTC15M-26MAY292300-00,BTC,2026-05-30,2026-05-30T03:00:00+00:00,no,0.72,0,-0.72,31413.42,10.0,73625.04,73676.21,0.0006950081113709794
KXBTC15M-26MAY300500-00,BTC,2026-05-30,2026-05-30T09:00:00+00:00,no,0.69,1,0.31000000000000005,17658.05,12.0,73434.58,73413.61,-0.00028556029053344027
KXBTC15M-26MAY300800-00,BTC,2026-05-30,2026-05-30T12:00:00+00:00,no,0.73,1,0.27,21232.26,11.0,73530.3,73506.52,-0.00032340409327853736
KXBTC15M-26MAY301100-00,BTC,2026-05-30,2026-05-30T15:00:00+00:00,no,0.69,1,0.31000000000000005,25044.86,13.0,73915.5,73834.04,-0.001102069254757208
KXBTC15M-26MAY301400-00,BTC,2026-05-30,2026-05-30T18:00:00+00:00,yes,0.74,1,0.26,32890.03,13.0,73848.73,73918.01,0.0009381339394732833
KXBTC15M-26MAY301700-00,BTC,2026-05-30,2026-05-30T21:00:00+00:00,yes,0.72,1,0.28,28777.97,8.0,73832.44,73866.27,0.00045819967483130375
KXBTC15M-26MAY302000-00,BTC,2026-05-31,2026-05-31T00:00:00+00:00,yes,0.67,1,0.32999999999999996,37220.43,13.0,73707.52,73765.83,0.0007910997412475372
KXBTC15M-26MAY302300-00,BTC,2026-05-31,2026-05-31T03:00:00+00:00,yes,0.75,1,0.25,31386.12,8.0,73865.98,73992.04,0.0017066043122963735
KXBTC15M-26MAY310500-00,BTC,2026-05-31,2026-05-31T09:00:00+00:00,no,0.6799999999999999,0,-0.6799999999999999,28582.28,13.0,73776.31,73853.18,0.0010419333794275609
KXBTC15M-26MAY310800-00,BTC,2026-05-31,2026-05-31T12:00:00+00:00,no,0.73,0,-0.73,16083.86,11.0,73850.8,73872.26,0.00029058588397135645
KXBTC15M-26MAY311100-00,BTC,2026-05-31,2026-05-31T15:00:00+00:00,yes,0.66,0,-0.66,15821.42,14.0,73523.63,73521.07,-3.481873786696429e-05
KXBTC15M-26MAY311400-00,BTC,2026-05-31,2026-05-31T18:00:00+00:00,yes,0.7,0,-0.7,26661.48,13.0,73609.72,73604.88,-6.575218598843343e-05
KXBTC15M-26MAY311700-00,BTC,2026-05-31,2026-05-31T21:00:00+00:00,yes,0.68,1,0.31999999999999995,20047.94,11.0,73584.41,73637.64,0.000723386923942122
KXBTC15M-26MAY312000-00,BTC,2026-06-01,2026-06-01T00:00:00+00:00,yes,0.65,1,0.35,36334.75,13.0,73493.82,73578.23,0.0011485319445905646
KXBTC15M-26MAY312300-00,BTC,2026-06-01,2026-06-01T03:00:00+00:00,yes,0.66,1,0.33999999999999997,42101.98,14.0,73696.85,73706.02,0.00012442865604158458
KXBTC15M-26JUN010200-00,BTC,2026-06-01,2026-06-01T06:00:00+00:00,yes,0.71,0,-0.71,39486.0,12.0,73327.55,73259.05,-0.0009341645807067057
KXBTC15M-26JUN010500-00,BTC,2026-06-01,2026-06-01T09:00:00+00:00,yes,0.68,1,0.31999999999999995,54732.09,13.0,72662.38,72808.88,0.002016173981639467
KXBTC15M-26JUN010800-00,BTC,2026-06-01,2026-06-01T12:00:00+00:00,yes,0.69,0,-0.69,18785.12,12.0,72646.61,72325.92,-0.004414383547972883
KXBTC15M-26JUN011100-00,BTC,2026-06-01,2026-06-01T15:00:00+00:00,yes,0.65,1,0.35,26246.88,13.0,71342.77,71401.85,0.0008281147479976141
KXBTC15M-26JUN011400-00,BTC,2026-06-01,2026-06-01T18:00:00+00:00,yes,0.78,0,-0.78,35135.63,9.0,71615.95,71570.0,-0.0006416168465264663
KXBTC15M-26JUN011700-00,BTC,2026-06-01,2026-06-01T21:00:00+00:00,no,0.73,1,0.27,29458.89,9.0,71516.29,71359.93,-0.0021863550248481935
KXBTC15M-26JUN012000-00,BTC,2026-06-02,2026-06-02T00:00:00+00:00,no,0.65,1,0.35,23722.56,14.0,71426.05,71334.79,-0.001277685102284241
KXBTC15M-26JUN012300-00,BTC,2026-06-02,2026-06-02T03:00:00+00:00,yes,0.72,1,0.28,29863.3,14.0,70504.4,70694.9,0.002701959026670676
KXBTC15M-26JUN020200-00,BTC,2026-06-02,2026-06-02T06:00:00+00:00,no,0.72,1,0.28,61688.2,14.0,70405.22,70184.96,-0.003128461213529263
KXBTC15M-26JUN020500-00,BTC,2026-06-02,2026-06-02T09:00:00+00:00,no,0.77,1,0.22999999999999998,35805.2,11.0,69794.32,69712.58,-0.0011711554751161015
KXBTC15M-26JUN020800-00,BTC,2026-06-02,2026-06-02T12:00:00+00:00,yes,0.75,1,0.25,17174.83,11.0,69396.09,69398.38,3.299897732002119e-05
KXBTC15M-26JUN021100-00,BTC,2026-06-02,2026-06-02T15:00:00+00:00,yes,0.71,1,0.29000000000000004,58737.02,14.0,67861.82,67876.14,0.00021101703432051236
KXBTC15M-26JUN021400-00,BTC,2026-06-02,2026-06-02T18:00:00+00:00,no,0.69,0,-0.69,23764.76,11.0,67387.22,67390.43,4.763514506150945e-05
KXBTC15M-26JUN021700-00,BTC,2026-06-02,2026-06-02T21:00:00+00:00,yes,0.68,1,0.31999999999999995,33176.96,14.0,67181.16,67498.77,0.004727664720287661
KXBTC15M-26JUN022000-00,BTC,2026-06-03,2026-06-03T00:00:00+00:00,yes,0.68,1,0.31999999999999995,31459.91,12.0,66596.1,66673.06,0.0011556232271858538
KXBTC15M-26JUN022300-00,BTC,2026-06-03,2026-06-03T03:00:00+00:00,no,0.6799999999999999,1,0.32000000000000006,44627.4,13.0,66673.09,66545.81,-0.0019090160663019944
KXBTC15M-26JUN030200-00,BTC,2026-06-03,2026-06-03T06:00:00+00:00,yes,0.65,1,0.35,22531.16,11.0,66948.74,67274.24,0.004861928693504911
KXBTC15M-26JUN030500-00,BTC,2026-06-03,2026-06-03T09:00:00+00:00,no,0.79,1,0.20999999999999996,38379.96,8.0,67017.61,66941.22,-0.0011398496604101433
KXBTC15M-26JUN030800-00,BTC,2026-06-03,2026-06-03T12:00:00+00:00,no,0.6699999999999999,1,0.33000000000000007,11939.19,13.0,67075.67,66985.33,-0.0013468370871285596
KXBTC15M-26JUN031100-00,BTC,2026-06-03,2026-06-03T15:00:00+00:00,yes,0.65,1,0.35,40245.68,13.0,66667.54,66762.99,0.0014317312443208742
KXBTC15M-26JUN031400-00,BTC,2026-06-03,2026-06-03T18:00:00+00:00,no,0.78,1,0.21999999999999997,33539.71,13.0,66026.14,65884.97,-0.002138092579696439
KXBTC15M-26JUN031700-00,BTC,2026-06-03,2026-06-03T21:00:00+00:00,no,0.6699999999999999,1,0.33000000000000007,55768.83,14.0,65122.87,64912.23,-0.003234501182149979
KXBTC15M-26JUN032000-00,BTC,2026-06-04,2026-06-04T00:00:00+00:00,no,0.69,1,0.31000000000000005,41340.39,8.0,64181.27,64026.85,-0.002405997886922435
KXBTC15M-26JUN032300-00,BTC,2026-06-04,2026-06-04T03:00:00+00:00,yes,0.7,0,-0.7,51071.77,11.0,63352.22,63139.63,-0.003355683510380596
KXBTC15M-26JUN040200-00,BTC,2026-06-04,2026-06-04T06:00:00+00:00,no,0.6799999999999999,1,0.32000000000000006,51538.62,13.0,64216.85,63890.8,-0.005077327835295497
KXBTC15M-26JUN040800-00,BTC,2026-06-04,2026-06-04T12:00:00+00:00,yes,0.69,1,0.31000000000000005,21699.83,14.0,62180.56,62479.94,0.004814688063279016
KXBTC15M-26JUN041100-00,BTC,2026-06-04,2026-06-04T15:00:00+00:00,no,0.6699999999999999,1,0.33000000000000007,16731.31,10.0,63951.32,63894.63,-0.0008864555102224994
KXBTC15M-26JUN041400-00,BTC,2026-06-04,2026-06-04T18:00:00+00:00,yes,0.69,1,0.31000000000000005,27757.84,13.0,62942.0,63454.3,0.00813923929967276
KXBTC15M-26JUN041700-00,BTC,2026-06-04,2026-06-04T21:00:00+00:00,no,0.73,0,-0.73,51140.65,11.0,63532.07,63578.9,0.000737108046377235
KXBTC15M-26JUN042000-00,BTC,2026-06-05,2026-06-05T00:00:00+00:00,no,0.6699999999999999,0,-0.6699999999999999,27884.57,13.0,63701.19,63815.34,0.001791960244384668
KXBTC15M-26JUN050200-00,BTC,2026-06-05,2026-06-05T06:00:00+00:00,no,0.6599999999999999,1,0.3400000000000001,37202.88,14.0,62847.12,62269.21,-0.009195488989789882
KXBTC15M-26JUN050500-00,BTC,2026-06-05,2026-06-05T09:00:00+00:00,no,0.77,1,0.22999999999999998,10180.7,8.0,62527.7,62408.8,-0.001901557229835644
KXBTC15M-26JUN050800-00,BTC,2026-06-05,2026-06-05T12:00:00+00:00,no,0.73,1,0.27,29728.08,14.0,62103.3,61946.99,-0.002516935492961001
KXBTC15M-26JUN051400-00,BTC,2026-06-05,2026-06-05T18:00:00+00:00,no,0.72,1,0.28,28542.99,13.0,60816.1,60750.02,-0.0010865543828032667
KXBTC15M-26JUN051700-00,BTC,2026-06-05,2026-06-05T21:00:00+00:00,yes,0.66,1,0.33999999999999997,34323.4,11.0,61261.31,61638.06,0.0061498848131063474
KXBTC15M-26JUN052300-00,BTC,2026-06-06,2026-06-06T03:00:00+00:00,yes,0.65,1,0.35,27837.61,13.0,60932.69,60954.07,0.00035087897809857695
KXBTC15M-26JUN060200-00,BTC,2026-06-06,2026-06-06T06:00:00+00:00,yes,0.7,1,0.30000000000000004,42855.95,11.0,60768.86,60930.92,0.002666826397598995
KXBTC15M-26JUN060500-00,BTC,2026-06-06,2026-06-06T09:00:00+00:00,yes,0.69,0,-0.69,20293.38,8.0,61348.93,61244.72,-0.0016986441328316424
KXBTC15M-26JUN060800-00,BTC,2026-06-06,2026-06-06T12:00:00+00:00,yes,0.73,0,-0.73,17860.97,11.0,60803.66,60759.07,-0.0007333440125150983
KXBTC15M-26JUN061100-00,BTC,2026-06-06,2026-06-06T15:00:00+00:00,no,0.65,1,0.35,37691.6,13.0,60936.79,60780.19,-0.0025698760961973635
KXBTC15M-26JUN061400-00,BTC,2026-06-06,2026-06-06T18:00:00+00:00,no,0.73,1,0.27,56003.95,13.0,60663.66,60560.46,-0.0017011832124867567
KXBTC15M-26JUN061700-00,BTC,2026-06-06,2026-06-06T21:00:00+00:00,no,0.78,1,0.21999999999999997,57018.17,11.0,60713.39,60691.66,-0.00035791116259520226
KXBTC15M-26JUN062000-00,BTC,2026-06-07,2026-06-07T00:00:00+00:00,no,0.72,0,-0.72,64094.78,13.0,60848.98,60861.15,0.0002000033525623314
KXBTC15M-26JUN062300-00,BTC,2026-06-07,2026-06-07T03:00:00+00:00,yes,0.72,1,0.28,47074.72,14.0,61275.29,61480.47,0.0033484949642833234
KXBTC15M-26JUN070200-00,BTC,2026-06-07,2026-06-07T06:00:00+00:00,no,0.6699999999999999,1,0.33000000000000007,29204.96,10.0,61795.09,61739.34,-0.0009021752375471903
KXBTC15M-26JUN070500-00,BTC,2026-06-07,2026-06-07T09:00:00+00:00,yes,0.73,1,0.27,18424.51,14.0,62526.76,62816.58,0.004635135420418389
KXBTC15M-26JUN070800-00,BTC,2026-06-07,2026-06-07T12:00:00+00:00,yes,0.7,0,-0.7,18702.65,12.0,62653.03,62613.86,-0.0006251892366578002
KXBTC15M-26JUN071100-00,BTC,2026-06-07,2026-06-07T15:00:00+00:00,no,0.65,1,0.35,24779.73,14.0,61978.94,61881.47,-0.0015726309614201399
KXBTC15M-26JUN071400-00,BTC,2026-06-07,2026-06-07T18:00:00+00:00,no,0.69,1,0.31000000000000005,41932.36,12.0,62253.92,62138.44,-0.0018549835897883366
KXBTC15M-26JUN071700-00,BTC,2026-06-07,2026-06-07T21:00:00+00:00,yes,0.66,1,0.33999999999999997,28805.12,10.0,61760.73,61879.71,0.0019264668665670876
KXBTC15M-26JUN072000-00,BTC,2026-06-08,2026-06-08T00:00:00+00:00,yes,0.7,1,0.30000000000000004,67615.71,12.0,63264.84,63292.96,0.0004444806941739301
KXBTC15M-26JUN072300-00,BTC,2026-06-08,2026-06-08T03:00:00+00:00,no,0.73,0,-0.73,37161.72,11.0,63041.95,63106.54,0.0010245558711303154
KXBTC15M-26JUN080200-00,BTC,2026-06-08,2026-06-08T06:00:00+00:00,yes,0.72,1,0.28,20855.82,11.0,62450.66,62701.81,0.004021574792003706
KXBTC15M-26JUN080500-00,BTC,2026-06-08,2026-06-08T09:00:00+00:00,no,0.69,1,0.31000000000000005,23604.85,13.0,63127.04,63114.58,-0.00019737975992536837
KXBTC15M-26JUN080800-00,BTC,2026-06-08,2026-06-08T12:00:00+00:00,no,0.77,1,0.22999999999999998,20814.14,13.0,63605.89,63442.96,-0.002561555227039513
KXBTC15M-26JUN081400-00,BTC,2026-06-08,2026-06-08T18:00:00+00:00,yes,0.71,1,0.29000000000000004,30006.22,13.0,63356.3,63509.4,0.0024164921246979153
KXBTC15M-26JUN081700-00,BTC,2026-06-08,2026-06-08T21:00:00+00:00,yes,0.65,1,0.35,60876.9,10.0,63367.18,63441.8,0.0011775812021302292
KXBTC15M-26JUN082000-00,BTC,2026-06-09,2026-06-09T00:00:00+00:00,no,0.77,1,0.22999999999999998,46987.76,14.0,63124.26,63073.14,-0.0008098312756458867
KXBTC15M-26JUN082300-00,BTC,2026-06-09,2026-06-09T03:00:00+00:00,yes,0.76,1,0.24,36300.3,14.0,62605.88,62842.71,0.003782871513027239
KXBTC15M-26JUN090200-00,BTC,2026-06-09,2026-06-09T06:00:00+00:00,yes,0.73,0,-0.73,29112.37,11.0,63358.97,63317.07,-0.0006613112555333752
KXBTC15M-26JUN090500-00,BTC,2026-06-09,2026-06-09T09:00:00+00:00,no,0.65,1,0.35,34907.87,12.0,62957.7,62827.15,-0.0020736145062477764
KXBTC15M-26JUN090800-00,BTC,2026-06-09,2026-06-09T12:00:00+00:00,no,0.69,0,-0.69,38750.79,10.0,62612.27,62691.48,0.0012650874980256492
KXBTC15M-26JUN091100-00,BTC,2026-06-09,2026-06-09T15:00:00+00:00,no,0.79,0,-0.79,42990.27,12.0,61315.9,61450.81,0.0022002449609317683
KXBTC15M-26JUN091400-00,BTC,2026-06-09,2026-06-09T18:00:00+00:00,no,0.6799999999999999,1,0.32000000000000006,50384.41,13.0,61680.67,61666.83,-0.0002243814796434038
KXBTC15M-26JUN091700-00,BTC,2026-06-09,2026-06-09T21:00:00+00:00,no,0.72,0,-0.72,58809.21,13.0,62099.86,62100.09,3.703712053391513e-06
KXBTC15M-26JUN092000-00,BTC,2026-06-10,2026-06-10T00:00:00+00:00,yes,0.67,1,0.32999999999999996,56735.52,13.0,61577.14,61670.01,0.0015081895651536043
KXBTC15M-26JUN092300-00,BTC,2026-06-10,2026-06-10T03:00:00+00:00,no,0.65,1,0.35,62186.56,12.0,61311.38,61290.47,-0.00034104598526401165
KXBTC15M-26JUN100200-00,BTC,2026-06-10,2026-06-10T06:00:00+00:00,no,0.7,0,-0.7,61498.0,11.0,61234.13,61304.61,0.0011509921019536523
KXBTC15M-26JUN100500-00,BTC,2026-06-10,2026-06-10T09:00:00+00:00,no,0.76,1,0.24,18368.18,11.0,61221.47,61217.25,-6.89300665273337e-05
KXBTC15M-26JUN100800-00,BTC,2026-06-10,2026-06-10T12:00:00+00:00,yes,0.66,0,-0.66,24099.67,12.0,60985.51,60985.37,-2.295627272763939e-06
KXBTC15M-26JUN101100-00,BTC,2026-06-10,2026-06-10T15:00:00+00:00,no,0.65,0,-0.65,44459.17,10.0,61964.26,62080.25,0.0018718855030302622
KXBTC15M-26JUN101400-00,BTC,2026-06-10,2026-06-10T18:00:00+00:00,yes,0.7,1,0.30000000000000004,59580.99,13.0,61727.54,61929.58,0.003273093338888944
KXBTC15M-26JUN101700-00,BTC,2026-06-10,2026-06-10T21:00:00+00:00,no,0.6599999999999999,1,0.3400000000000001,68934.05,13.0,61783.0,61745.58,-0.0006056682258873518
KXBTC15M-26JUN102000-00,BTC,2026-06-11,2026-06-11T00:00:00+00:00,no,0.6799999999999999,1,0.32000000000000006,39902.26,11.0,61493.71,61466.82,-0.00043728049584257345
KXBTC15M-26JUN102300-00,BTC,2026-06-11,2026-06-11T03:00:00+00:00,no,0.6799999999999999,0,-0.6799999999999999,35057.42,12.0,62004.82,62090.6,0.0013834408357285585
KXBTC15M-26JUN110200-00,BTC,2026-06-11,2026-06-11T06:00:00+00:00,no,0.65,1,0.35,48174.12,10.0,62616.43,62548.39,-0.0010866157652232949
KXBTC15M-26JUN111100-00,BTC,2026-06-11,2026-06-11T15:00:00+00:00,yes,0.65,0,-0.65,29284.65,9.0,62829.83,62687.68,-0.0022624603631746488
KXBTC15M-26JUN111400-00,BTC,2026-06-11,2026-06-11T18:00:00+00:00,yes,0.69,1,0.31000000000000005,63431.28,14.0,63258.17,63487.81,0.003630203023577815
KXBTC15M-26JUN111700-00,BTC,2026-06-11,2026-06-11T21:00:00+00:00,yes,0.66,1,0.33999999999999997,46010.9,8.0,63245.67,63343.66,0.0015493550783793617
KXBTC15M-26JUN112000-00,BTC,2026-06-12,2026-06-12T00:00:00+00:00,no,0.6699999999999999,1,0.33000000000000007,40508.97,10.0,63572.86,63550.48,-0.0003520370170540916
KXBTC15M-26JUN120500-00,BTC,2026-06-12,2026-06-12T09:00:00+00:00,yes,0.66,1,0.33999999999999997,44221.45,13.0,63312.79,63399.48,0.0013692336098283194
KXBTC15M-26JUN120800-00,BTC,2026-06-12,2026-06-12T12:00:00+00:00,yes,0.74,0,-0.74,38761.66,14.0,63721.08,63707.91,-0.00020668199597367548
KXBTC15M-26JUN121100-00,BTC,2026-06-12,2026-06-12T15:00:00+00:00,yes,0.76,1,0.24,57172.77,9.0,63484.05,63930.56,0.00703342020554761
KXBTC15M-26JUN121700-00,BTC,2026-06-12,2026-06-12T21:00:00+00:00,no,0.72,1,0.28,98787.41,12.0,63488.21,63424.89,-0.0009973505316971405
KXBTC15M-26JUN122000-00,BTC,2026-06-13,2026-06-13T00:00:00+00:00,yes,0.72,1,0.28,27836.13,9.0,63476.31,63532.24,0.0008811161203289903
KXBTC15M-26JUN122300-00,BTC,2026-06-13,2026-06-13T03:00:00+00:00,no,0.71,0,-0.71,55048.27,10.0,63602.76,63622.5,0.00031036388986889816
KXBTC15M-26JUN130200-00,BTC,2026-06-13,2026-06-13T06:00:00+00:00,no,0.6799999999999999,1,0.32000000000000006,68798.58,13.0,63553.72,63531.99,-0.0003419154693069611
KXBTC15M-26JUN130500-00,BTC,2026-06-13,2026-06-13T09:00:00+00:00,no,0.65,1,0.35,36652.03,11.0,63848.0,63778.94,-0.0010816313745144353
KXBTC15M-26JUN131100-00,BTC,2026-06-13,2026-06-13T15:00:00+00:00,yes,0.69,1,0.31000000000000005,21038.47,9.0,64163.93,64190.42,0.0004128487765633739
KXBTC15M-26JUN131400-00,BTC,2026-06-13,2026-06-13T18:00:00+00:00,no,0.76,1,0.24,142435.45,12.0,64074.43,63959.11,-0.0017997819098819873
KXBTC15M-26JUN131700-00,BTC,2026-06-13,2026-06-13T21:00:00+00:00,yes,0.69,1,0.31000000000000005,51648.42,10.0,64213.12,64255.82,0.0006649731394456007
KXBTC15M-26JUN132000-00,BTC,2026-06-14,2026-06-14T00:00:00+00:00,no,0.6799999999999999,1,0.32000000000000006,62206.24,13.0,64442.74,64418.49,-0.0003763030560153091
KXBTC15M-26JUN132300-00,BTC,2026-06-14,2026-06-14T03:00:00+00:00,no,0.6799999999999999,1,0.32000000000000006,43561.44,12.0,64493.57,64474.23,-0.0002998748557413787
KXBTC15M-26JUN140200-00,BTC,2026-06-14,2026-06-14T06:00:00+00:00,no,0.65,1,0.35,41037.32,12.0,64356.91,64342.63,-0.0002218875952870657
KXBTC15M-26JUN140500-00,BTC,2026-06-14,2026-06-14T09:00:00+00:00,no,0.69,1,0.31000000000000005,48240.74,10.0,64451.38,64427.91,-0.00036415046504813226
KXBTC15M-26JUN140800-00,BTC,2026-06-14,2026-06-14T12:00:00+00:00,no,0.7,1,0.30000000000000004,14954.69,11.0,64588.09,64528.2,-0.0009272607380091194
KXBTC15M-26JUN141100-00,BTC,2026-06-14,2026-06-14T15:00:00+00:00,yes,0.66,1,0.33999999999999997,59843.88,14.0,63901.26,63938.98,0.0005902857001567913
KXBTC15M-26JUN141400-00,BTC,2026-06-14,2026-06-14T18:00:00+00:00,yes,0.74,0,-0.74,46137.01,12.0,63810.5,63703.91,-0.0016704147436549864
KXBTC15M-26JUN142000-00,BTC,2026-06-15,2026-06-15T00:00:00+00:00,yes,0.68,1,0.31999999999999995,53716.74,11.0,65554.57,65723.76,0.002580903207815836
KXBTC15M-26JUN142300-00,BTC,2026-06-15,2026-06-15T03:00:00+00:00,no,0.7,1,0.30000000000000004,60078.54,13.0,65564.12,65421.01,-0.0021827487351312475
KXBTC15M-26JUN150200-00,BTC,2026-06-15,2026-06-15T06:00:00+00:00,yes,0.77,1,0.22999999999999998,77419.45,11.0,65696.14,65827.38,0.001997682055597258
KXBTC15M-26JUN150500-00,BTC,2026-06-15,2026-06-15T09:00:00+00:00,no,0.75,1,0.25,29249.39,9.0,65733.94,65648.45,-0.0013005458063217454
KXBTC15M-26JUN150800-00,BTC,2026-06-15,2026-06-15T12:00:00+00:00,yes,0.66,1,0.33999999999999997,21260.6,9.0,66141.0,66198.74,0.0008729834746980729
KXBTC15M-26JUN151100-00,BTC,2026-06-15,2026-06-15T15:00:00+00:00,yes,0.72,1,0.28,42325.64,14.0,66481.03,66567.56,0.0013015742987134652
KXBTC15M-26JUN151400-00,BTC,2026-06-15,2026-06-15T18:00:00+00:00,no,0.6599999999999999,1,0.3400000000000001,46183.95,14.0,66874.43,66829.85,-0.0006666225042962938
KXBTC15M-26JUN151700-00,BTC,2026-06-15,2026-06-15T21:00:00+00:00,no,0.65,1,0.35,78296.6,14.0,66573.43,66481.82,-0.0013760745090043585
