coin,wkey,day,minute,px,vol,frac_long,maker_yes,won,edge
BTC,26JUL252330,2026-07-26,2,0.949,40104.47000000002,0.46624528387982644,False,1,0.051000000000000045
BTC,26JUL260000,2026-07-26,2,0.88,13.15,0.0,False,1,0.12
BTC,26JUL260045,2026-07-26,2,0.88,0.0,0.0,True,1,0.12
BTC,26JUL260115,2026-07-26,2,0.63,0.0,0.0,False,1,0.37
BTC,26JUL260400,2026-07-26,2,0.69,464.92999999999995,0.0,False,0,-0.69
BTC,26JUL260415,2026-07-26,2,0.94,0.0,0.0,True,1,0.06000000000000005
BTC,26JUL260430,2026-07-26,2,0.54,679.71,0.0,True,1,0.45999999999999996
BTC,26JUL260515,2026-07-26,3,0.9,6.0,0.0,True,1,0.09999999999999998
BTC,26JUL260515,2026-07-26,2,0.903,19952.729999999963,0.5859458830946956,True,1,0.09699999999999998
BTC,26JUL260545,2026-07-26,3,0.82,0.0,0.0,True,1,0.18000000000000005
BTC,26JUL260545,2026-07-26,2,0.8,3003.990000000002,0.8900562252204565,True,1,0.19999999999999996
BTC,26JUL260600,2026-07-26,2,0.8200000000000001,0.0,0.0,False,1,0.17999999999999994
BTC,26JUL260630,2026-07-26,3,0.928,824.98,0.0,True,1,0.07199999999999995
BTC,26JUL260630,2026-07-26,2,0.945,21575.109999999982,0.27339930132453594,True,1,0.05500000000000005
BTC,26JUL260715,2026-07-26,3,0.75,0.0,0.0,False,1,0.25
BTC,26JUL260715,2026-07-26,2,0.77,30240.39999999995,0.49487506779010965,False,1,0.22999999999999998
BTC,26JUL260730,2026-07-26,3,0.79,20.85,0.0,False,1,0.20999999999999996
BTC,26JUL260730,2026-07-26,2,0.79,24167.319999999985,0.1616348027005064,False,1,0.20999999999999996
BTC,26JUL260800,2026-07-26,3,0.84,99.06,0.0,True,1,0.16000000000000003
BTC,26JUL260800,2026-07-26,2,0.84,2875.62,0.2372879587706303,True,1,0.16000000000000003
BTC,26JUL261100,2026-07-26,2,0.5,0.0,0.0,True,1,0.5
BTC,26JUL261315,2026-07-26,2,0.55,0.08,0.0,True,1,0.44999999999999996
BTC,26JUL261415,2026-07-26,2,0.87,0.0,0.0,True,1,0.13
BTC,26JUL261430,2026-07-26,2,0.71,33.04,0.0,False,1,0.29000000000000004
BTC,26JUL261445,2026-07-26,2,0.94,106.4,0.0,True,1,0.06000000000000005
BTC,26JUL261545,2026-07-26,2,0.82,0.0,0.0,True,1,0.18000000000000005
BTC,26JUL261645,2026-07-26,2,0.86,0.0,0.0,True,1,0.14
BTC,26JUL261800,2026-07-26,2,0.948,51331.01000000002,0.7275804625702861,True,1,0.052000000000000046
BTC,26JUL261830,2026-07-26,2,0.71,0.0,0.0,True,1,0.29000000000000004
BTC,26JUL262100,2026-07-27,2,0.949,15767.51,0.7595390775081163,False,1,0.051000000000000045
BTC,26JUL262115,2026-07-27,2,0.69,80.0,0.0,False,1,0.31000000000000005
BTC,26JUL262130,2026-07-27,2,0.61,275.42,0.0,False,1,0.39
BTC,26JUL270130,2026-07-27,2,0.85,95.43,0.0,True,1,0.15000000000000002
BTC,26JUL270145,2026-07-27,2,0.917,0.0,0.0,False,1,0.08299999999999996
BTC,26JUL270200,2026-07-27,2,0.87,0.0,0.0,True,1,0.13
BTC,26JUL270245,2026-07-27,2,0.82,3530.7699999999995,0.0,True,1,0.18000000000000005
BTC,26JUL270315,2026-07-27,2,0.8,0.0,0.0,False,0,-0.8
BTC,26JUL270330,2026-07-27,2,0.6799999999999999,333.36,0.0,False,1,0.32000000000000006
BTC,26JUL270400,2026-07-27,2,0.56,121.34,0.0,False,1,0.43999999999999995
BTC,26JUL270430,2026-07-27,2,0.948,68251.16000000003,0.6265311827667103,True,1,0.052000000000000046
BTC,26JUL270500,2026-07-27,2,0.69,646.8,0.0,True,1,0.31000000000000005
BTC,26JUL270515,2026-07-27,3,0.88,0.0,0.0,False,1,0.12
BTC,26JUL270515,2026-07-27,2,0.9,13434.400000000003,0.733166349074019,False,1,0.09999999999999998
BTC,26JUL270545,2026-07-27,2,0.945,201.54000000000002,0.0,True,1,0.05500000000000005
BTC,26JUL270745,2026-07-27,2,0.5900000000000001,2309.75,0.0,False,1,0.4099999999999999
BTC,26JUL270845,2026-07-27,2,0.52,57.370000000000005,0.0,True,1,0.48
BTC,26JUL270900,2026-07-27,2,0.949,6792.630000000001,0.6199881341983886,True,1,0.051000000000000045
BTC,26JUL270915,2026-07-27,2,0.72,13.53,0.0,False,1,0.28
BTC,26JUL270930,2026-07-27,2,0.87,0.0,0.0,False,1,0.13
BTC,26JUL271015,2026-07-27,2,0.911,1255.45,0.0,True,1,0.08899999999999997
BTC,26JUL271115,2026-07-27,2,0.54,0.0,0.0,False,0,-0.54
BTC,26JUL271145,2026-07-27,3,0.926,0.0,0.0,False,1,0.07399999999999995
BTC,26JUL271145,2026-07-27,2,0.909,9700.590000000002,0.5422917575116564,False,1,0.09099999999999997
BTC,26JUL271200,2026-07-27,2,0.58,2927.01,0.0,True,0,-0.58
BTC,26JUL271315,2026-07-27,2,0.907,0.01,0.0,False,1,0.09299999999999997
BTC,26JUL271415,2026-07-27,2,0.948,48857.239999999976,0.6087816258143116,False,1,0.052000000000000046
